uWind_80m,WD_ModActive,WD_Nacelle,WD_NacelleMod,LSSDW_Tq,LSSDW_My,LSSDW_Mz,TTTq,TT_ForeAft,TT_SideSide,TB_ForeAft,TB_SideSide,BL3_FlapMom,BL3_EdgeMom,BL1_FlapMom,BL1_EdgeMom,ActivePower,yawoffset
3.221099177,1,46.42363798,46.38940127,-101.8451516,-549.9921714,-311.2563926,-725.0402682,-1873.801728,-186.5881179,-3349.960256,-2589.479633,-1885.001081,-460.9624067,-2100.356417,-678.0760106,-31.18704258,-1.470943757
0.306312905,1,49.65023783,49.58890491,-57.15363132,-391.2748325,-115.1923641,-338.4584425,-1296.911713,-109.1511288,-2008.890976,-770.4028995,-872.8424819,-450.2514235,-874.5411464,-621.5784839,-22.68777746,-8.316225631
0.559977462,1,70.62339302,70.49396849,-57.54060568,-499.3734776,-284.6886435,-810.8261047,-1618.573082,-135.6047297,-2185.130058,-1347.928511,-1262.274338,-475.084604,-1518.220216,-645.0690514,-20.32410992,-6.224592096
5.087516442,1,126.7145732,126.8274956,-227.9057834,-1063.694358,-447.8718406,-1015.455847,-2230.269724,-264.9467086,-3861.952882,-4243.110004,-3000.103964,-707.5912501,-2696.037067,-789.120961,-32.09501616,-0.302461456
4.534514659,1,64.26842649,64.39216336,74.22474022,-585.8287401,-439.7200085,-1020.292174,-1200.700094,12.12524698,1822.878796,-1959.511994,-2108.796276,-590.825564,-2143.352911,-793.6737259,177.9604552,-0.304649388
0.927968685,1,110.8448941,110.8708596,-42.17186705,-504.3108318,-489.9976326,-1249.634371,-1255.321676,-158.7730544,504.5486766,-1514.605759,-2703.172647,-492.7409486,-2746.150591,-728.046245,-9.380242637,-0.26705108
3.495787661,1,118.4058237,118.5281473,14.41366063,-672.3601303,-499.506703,-1052.023202,-1645.039646,-32.76370815,1742.585041,-1842.708403,-2137.249991,-513.7742241,-2210.662804,-805.4242733,59.96793344,-0.671267658
1.441967458,1,93.75744411,93.64476247,2.322147044,-666.5537772,-488.0744091,-1029.90585,-1644.247853,-177.2073061,339.3910403,-1995.615537,-2178.194103,-470.2625862,-2547.565011,-757.4438976,53.94564434,-7.518824793
6.991559287,1,151.2160448,151.2089428,278.6758144,-534.8340131,-341.8899545,-700.7701605,-1132.713433,314.4313984,4894.757114,-2236.966806,-1993.013096,-505.4588741,-2126.575113,-674.1976957,610.9490382,-0.313460691
6.640822183,1,145.4539594,145.4833452,376.3862677,-646.2196918,-259.9442356,-492.9555197,-1523.355435,363.1710853,7761.258506,-2209.663583,-2062.743508,-483.7675316,-2314.157689,-701.747967,796.0130262,-0.331745258
8.600034713,1,145.5325591,145.5102192,371.2476615,-522.1157962,-294.6881976,-652.819741,-1288.988315,388.1882001,3960.929042,-2159.360196,-1737.370254,-495.2094465,-1931.026671,-734.2433491,697.4455677,-0.36200805
5.191113656,1,143.2195387,143.3012123,215.8102784,-511.3185365,-221.8935269,-445.7718351,-1181.446129,137.8309057,6638.124388,-1800.753518,-1756.44264,-462.9200477,-1926.383353,-650.7801692,411.4252321,-0.225008707
4.750916117,1,127.2769567,127.3498174,112.4869742,-460.5499812,-269.1640208,-525.9251193,-994.1747055,77.08877465,2912.006082,-1927.206264,-1812.048971,-447.3061748,-1937.847433,-668.1725727,164.4891689,-0.213466051
5.254040445,1,154.8971864,154.9328613,229.6759029,-507.5164277,-272.6123226,-556.5060449,-1033.383927,277.4909271,7139.660036,-2444.959853,-1957.499922,-476.5052402,-2230.8742,-683.1169881,505.1821623,-0.511871881
6.94211681,1,146.615274,146.5940798,278.7148563,-513.028648,-255.4305104,-507.87736,-1191.971776,372.0172358,6712.672819,-2008.013778,-2027.705326,-488.0437999,-2175.187172,-666.7833402,598.7399556,-0.324212244
7.047018957,1,157.9778934,157.9742142,415.9920033,-469.2445597,-215.504541,-403.6014171,-1050.578288,520.7295114,8645.672757,-2175.301576,-2016.713226,-502.1761216,-2097.056314,-675.1291598,817.7844407,-0.273702409
7.097258893,1,155.5900773,155.5322157,366.4271322,-478.5218051,-317.2371516,-712.9789389,-993.3047862,485.8865895,3398.519931,-1434.469401,-1991.341195,-510.472533,-2011.044187,-702.0132135,833.5252845,-0.272087542
6.146324915,1,151.0564897,151.0039703,196.2112324,-491.25955,-339.619072,-749.1924168,-840.7471363,318.9111614,5392.991602,-1441.913092,-2001.583998,-462.6701364,-2079.496412,-689.1531125,385.9522818,-0.365795844
4.409748525,1,138.1627914,138.1331501,102.7402727,-493.4577576,-358.306477,-862.846117,-1128.215143,178.7898624,2520.705979,-1362.920335,-2244.389832,-463.3124854,-2044.911501,-685.7372522,158.3957327,-0.222083171
3.362901941,0,116.1088512,116.1192418,5.984049876,-464.5812432,-274.1249672,-652.3479042,-1410.171526,62.8924813,-1847.834732,-1501.09764,-1421.103417,-505.1359544,-1491.279813,-692.0579332,51.37982845,-0.231281583
6.312051459,0,145.0122047,145.0152292,257.6207343,-507.9123578,-289.8673546,-739.7556799,-1233.392278,338.7427193,2997.242394,-2284.165783,-1779.769358,-566.8921908,-1977.172088,-772.7073268,570.7407156,-0.245163173
4.156736435,1,142.0591274,142.0449728,80.24064143,-329.5809778,-77.96117616,-211.1214738,-1022.128537,124.6300991,2559.056666,-323.9650129,-744.1961777,-451.2198406,-789.1124554,-618.5524479,91.421388,-25.02088053
