# RAO Surge data generated on 04-Feb-2016 22:15:15
#
#  time period       Amplitude         Phase delay
# (s)               (m)             (radians)
  0.40000000     0.00002386     0.00000000
  0.80000000     0.00026496     2.68410034
  1.20000000     0.00165594    -2.34224318
  1.60000000     0.00909131    -2.15236744
  2.00000000     0.03355187     1.41092110
  2.40000000     0.09909090     0.06075886
  2.80000000     0.24800822    -0.52041815
  3.20000000     0.49108314    -0.62057944
  3.60000000     0.71348838    -0.46770983
  4.00000000     0.84337895    -0.33794350
  4.40000000     0.90868073    -0.24012305
  4.80000000     0.94305734    -0.17547326
  5.20000000     0.96194492    -0.13284215
  5.60000000     0.97377511    -0.11084163
  6.00000000     0.98125014    -0.08032119
  6.40000000     0.98627419    -0.06864131
  6.80000000     0.98990614    -0.05326301
  7.20000000     0.99250281    -0.04822798
  7.60000000     0.99428219    -0.05115129
  8.00000000     0.99579295    -0.04254839
  8.40000000     0.99688441    -0.03864354
  8.80000000     0.99778229    -0.02102519
  9.20000000     0.99846373    -0.02380563
  9.60000000     0.99899242    -0.02892556
 10.00000000     0.99953059    -0.01857264
 10.40000000     0.99993188    -0.02726140
 10.80000000     1.00046201    -0.01985942
 11.20000000     1.00104501    -0.01351512
 11.60000000     1.00180675    -0.00820092
 12.00000000     1.00291901    -0.02099786
 12.40000000     1.00495064    -0.01716817
 12.80000000     1.00896684    -0.01362187
 13.20000000     1.01653059    -0.01059953
 13.60000000     1.02116944    -0.00818712
 14.00000000     1.01287262    -0.00606151
 14.40000000     1.00619778    -0.00423029
 14.80000000     1.00321355    -0.00249704
 15.20000000     1.00184689    -0.00103403
 15.60000000     1.00115063     0.00032788
 16.00000000     1.00076372    -0.01590306
 16.40000000     1.00053996    -0.01498581
 16.80000000     1.00038702    -0.01393112
 17.20000000     1.00029212    -0.01303140
 17.60000000     1.00022985    -0.01230423
 18.00000000     1.00019028    -0.01158704
 18.40000000     1.00016662    -0.01094013
 18.80000000     1.00015098    -0.01048945
 19.20000000     1.00014922    -0.00974384
 19.60000000     1.00015763    -0.00930511
 20.00000000     1.00017126    -0.00886050
 20.40000000     1.00020041    -0.00831246
 20.80000000     1.00025415    -0.00803651
 21.20000000     1.00037189    -0.00769186
 21.60000000     1.00064125    -0.00738060
 22.00000000     1.00131476    -0.00702950
 22.40000000     1.00240303    -0.00670698
 22.80000000     1.00156788    -0.00645152
 23.20000000     1.00067898    -0.00617786
 23.60000000     1.00034303    -0.00586380
 24.00000000     1.00021601    -0.00577871
 24.40000000     1.00016121    -0.00556831
 24.80000000     1.00012409    -0.00532226
 25.20000000     1.00010683    -0.00511879
 25.60000000     1.00009768    -0.00488969
 26.00000000     1.00008829    -0.00461447
 26.40000000     1.00008451    -0.00463368
 26.80000000     1.00008259    -0.00446464
 27.20000000     1.00008205    -0.00428314
 27.60000000     1.00008375    -0.00412158
 28.00000000     1.00008452    -0.00403800
 28.40000000     1.00008962    -0.00385612
 28.80000000     1.00009119    -0.00380994
 29.20000000     1.00009879    -0.00366848
 29.60000000     1.00010804    -0.00360539
 30.00000000     1.00012697    -0.00349532
 30.40000000     1.00016930    -0.00337670
 30.80000000     1.00026247    -0.00319450
 31.20000000     1.00052303    -0.00317612
 31.60000000     1.00061720    -0.00303459
 32.00000000     1.00031528    -0.00297870
 32.40000000     1.00017366    -0.00292925
 32.80000000     1.00012742    -0.00288703
 33.20000000     1.00011022    -0.00273113
 33.60000000     1.00010135    -0.00265508
 34.00000000     1.00009356    -0.00270413
 34.40000000     1.00009372    -0.00258101
 34.80000000     1.00009211    -0.00252452
 35.20000000     1.00008852    -0.00230070
 35.60000000     1.00008884    -0.00238035
 36.00000000     1.00008814    -0.00228654
 36.40000000     1.00008723    -0.00229220
 36.80000000     1.00009053    -0.00225419
 37.20000000     1.00009270    -0.00213258
 37.60000000     1.00009054    -0.00212614
 38.00000000     1.00009305    -0.00214515
 38.40000000     1.00009762    -0.00202692
 38.80000000     1.00010307    -0.00195831
 39.20000000     1.00010836    -0.00192659
 39.60000000     1.00012739    -0.00180835
 40.00000000     1.00018348    -0.00186429
 40.40000000     1.00028824    -0.00184970
 40.80000000     1.00025011    -0.00180841
 41.20000000     1.00015702    -0.00186750
 41.60000000     1.00012341    -0.00176442
 42.00000000     1.00010909    -0.00167991
 42.40000000     1.00009940    -0.00162840
 42.80000000     1.00009672    -0.00160527
