uWind_80m,WD_ModActive,WD_Nacelle,WD_NacelleMod,LSSDW_Tq,LSSDW_My,LSSDW_Mz,TTTq,TT_ForeAft,TT_SideSide,TB_ForeAft,TB_SideSide,BL3_FlapMom,BL3_EdgeMom,BL1_FlapMom,BL1_EdgeMom,ActivePower,yawoffset
1.551729212,0,36.47940208,36.47874248,181.9783526,69.84006177,58.15522937,138.3063538,289.4674571,252.2477729,4809.401679,597.4659969,497.29525,421.3233127,582.5431716,409.6995813,297.4739223,0.105494306
1.46460824,0,40.22371063,40.23967537,67.69308839,33.04015329,32.08426446,87.39169951,114.4760821,109.5460463,1948.743123,204.8418054,344.8951,361.449083,380.8580267,344.8567006,68.89646749,0.387333629
2.209210687,0,36.15733197,36.15852679,99.85436701,63.20189674,59.95563598,135.2081744,205.3645203,114.4319396,2885.934852,407.8384269,368.2020179,393.7890021,443.0682524,383.2623736,125.3281545,0.120727224
4.168332965,0,27.91034488,27.90228696,333.3694426,151.5887324,99.0574488,248.7457815,497.3575961,388.2532441,5961.644897,1554.597989,664.3107925,454.8249425,702.8082193,430.3314796,573.1841331,0.073444536
2.850486149,0,21.14627671,21.14925172,258.1212067,113.6372292,97.2642681,220.7618133,318.4560362,296.5909182,3374.141681,901.9205492,339.4735164,482.6422848,353.030813,472.1954742,481.1714242,0.078632528
3.383782156,0,26.38406884,26.38348073,291.5040728,93.551645,77.24124142,177.7534933,385.2535701,357.3316203,4929.09184,617.8372229,444.61064,477.5095231,461.223355,463.8081673,527.3729786,0.060837166
2.667678426,0,18.4408218,18.43459173,231.8271553,100.3869728,89.60004041,205.2188362,294.3959579,267.7532948,3003.002635,640.3577922,309.0831753,487.5026055,322.6665503,474.4465416,417.4664965,0.100601125
2.977121767,0,21.31571117,21.32546998,183.9442179,101.7238,83.77703756,192.7807528,315.1178626,216.1526652,3534.646265,614.9750962,352.7916902,477.3614275,368.6671913,466.376359,341.9881115,0.353712664
2.259468096,0,10.36963237,10.36679473,151.9758133,73.92749256,70.6546198,162.0264032,197.6270437,181.0006568,2183.102559,753.4408057,252.9729142,496.2577721,273.8454518,483.015154,269.0411103,0.083269018
1.634750959,0,12.91497056,12.91189663,127.4954738,97.15220133,83.1713032,188.8970492,263.8678473,154.5005324,1733.439964,703.5125574,238.4057815,503.4996608,258.7257022,490.3017768,221.0955469,0.087132484
1.632933182,0,10.45302599,10.45045386,84.40622787,75.54426506,68.54630119,157.7810039,193.3558169,105.8008695,1860.035346,583.7712678,233.2797408,477.914011,253.3933915,468.9647573,146.3875071,0.077869121
1.154209599,0,15.30180789,15.30091078,84.34758702,72.95102124,64.48123582,148.0835052,179.5208264,115.1476933,1464.651657,403.0953765,168.6816559,491.6902594,178.9742702,478.8343648,156.8345262,0.071860896
1.975923579,0,15.02575725,15.02892543,214.9141797,63.51761732,70.52468991,158.5668542,203.2885372,283.1966844,3264.37339,533.0340306,301.9995517,497.9446569,314.9405528,484.0063829,398.0252728,0.064911516
1.721942376,0,10.02014193,10.01608281,168.1328864,70.68946082,65.61274695,147.79284,182.0127332,201.0215749,1575.920739,692.3858734,180.635677,492.0111003,194.8800884,480.6576139,292.1136861,0.083984606
1.85145906,0,9.68477832,9.685304789,157.3781268,69.13853704,66.29719094,147.9245913,206.5412946,198.0278344,1735.40288,704.30627,212.261347,490.4217373,231.3883813,480.3785182,270.9531744,0.08179421
1.489849236,0,7.667115659,7.675167899,121.1651686,73.5162015,65.25988944,148.1603223,190.3904678,147.3266643,1475.841962,599.5486726,207.424045,505.6241445,229.4626854,490.8808519,208.5794976,0.081057835
2.189831274,0,9.586873371,9.591480983,111.3125908,80.84695077,78.46435992,179.1719114,202.2042228,136.4689389,2191.920329,669.1934212,264.79677,476.1274072,284.4382062,468.2035947,197.9948713,0.082251099
