RAO,Coeff,Res_Spec,phase,Norm_Spec,
1+0j,0,0,0,0,
1.0000046477760898-0.00022470160301405227j,0,0,0.000224701,0,
1.000012597905117-0.0003921277297885522j,0,0,0.000392123,0,
1.0000234075597063-0.0005107058012333376j,0,0,0.000510694,0,
1.0000366218624523-0.0005888624443687423j,0,0,0.000588841,0,
1.0000517776474813-0.0006350239188891825j,0,0,0.000634991,0,
1.00006840651167-0.0006576164677725652j,0,0,0.000657571,0,
1.000086037155721-0.000665066590339796j,8.89E-135,0,0.000665009,0,
1.0001028920832649-0.0008201327331368696j,3.95E-79,9.879597696567e-311,0.000820048,0.00E+00,
1.0001027782067209-0.0009491836805740069j,1.45E-49,1.79E-192,0.000949086,1.31E-190,
1.0001741895253051-0.0012325185605760115j,1.03E-32,4.63E-125,0.001232303,3.39E-123,
1.0000949106365395-0.0014020318972942079j,1.49E-22,1.98E-84,0.001401898,1.45E-82,
1.0001227043634071-0.0017687117387807161j,3.77E-16,8.21E-59,0.001768493,6.01E-57,
1.0000953665155994-0.0020307145114472104j,5.84E-12,4.73E-42,0.002030518,3.46E-40,
1.0000859995213331-0.00237750092633021j,3.92E-09,9.62E-31,0.002377292,7.04E-29,
1.00010471643637-0.0027138885014415214j,3.56E-07,6.49E-23,0.002713598,4.75E-21,
1.0005132978175384-0.0031787312434956804j,8.63E-06,2.25E-17,0.00317709,1.65E-15,
1.0000952707075554-0.0036427730368438624j,8.58E-05,2.20E-13,0.00364241,1.61E-11,
1.0000756088703073-0.004094500473704032j,0.000460841,1.83E-10,0.004094168,1.34E-08,
1.0000747841712934-0.004628941408096649j,0.001601645,2.67E-08,0.004628562,1.96E-06,
1.0001024687177036-0.005244820756033211j,0.004070497,1.12E-06,0.005244235,8.20E-05,
1.0002614233751366-0.005827537159150109j,0.008231007,1.86E-05,0.005825948,0.001362031,
1.00184656987766-0.006538650837869043j,0.014068663,0.000158634,0.006526506,0.01161637,
1.000728843808473-0.007304348358600135j,0.021115875,0.00080684,0.007298899,0.059082871,
