Time_UTC,MODAQ_Va_V,MODAQ_Vb_V,MODAQ_Vc_V,MODAQ_Ia_I,MODAQ_Ib_I,MODAQ_Ic_I
15:21.5,10652.7645,-8499.44632,-1850.166138,-23.21365356,19.21966553,4.0234375
15:21.5,10691.12262,-8428.702576,-1927.626526,-23.40484619,19.18167114,4.289855957
15:21.5,10732.96115,-8364.997162,-2001.269318,-23.49304199,19.03396606,4.478912354
15:21.5,10775.89264,-8304.582245,-2071.241791,-23.68011475,18.91784668,4.85824585
15:21.5,10818.29703,-8248.074066,-2138.016785,-23.73794556,18.7020874,5.092468262
15:21.5,10865.03448,-8199.9646,-2203.714325,-23.82553101,18.55880737,5.36895752
15:21.5,10911.55103,-8152.855072,-2270.187012,-23.92852783,18.40133667,5.546264648
15:21.5,10957.36993,-8106.888885,-2339.969574,-24.02526855,18.19015503,5.949249268
15:21.5,11004.51822,-8065.472809,-2412.376007,-24.10263062,17.99606323,6.167755127
15:21.5,11046.43039,-8020.711975,-2486.26297,-24.13803101,17.7796936,6.342926025
15:21.5,11086.00937,-7977.85025,-2563.025726,-24.20410156,17.59414673,6.667022705
15:21.5,11124.27448,-7937.325592,-2640.548126,-24.22332764,17.4029541,6.918792725
15:21.5,11157.97009,-7894.428986,-2720.62851,-24.30343628,17.18048096,7.162017822
15:21.5,11190.25107,-7854.082611,-2801.782471,-24.36386108,16.9291687,7.429504395
15:21.5,11219.54385,-7812.472748,-2883.634064,-24.38659668,16.70730591,7.676849365
15:21.5,11245.08493,-7769.01416,-2966.028259,-24.38522339,16.53106689,7.859649658
15:21.5,11268.69202,-7727.043854,-3046.5466,-24.478302,16.27716064,8.137054443
15:21.5,11285.85764,-7682.922516,-3123.270599,-24.53125,16.13433838,8.393249512
15:21.5,11297.67862,-7635.479675,-3196.611084,-24.4631958,15.85769653,8.631744385
15:21.5,11306.33313,-7586.567932,-3266.978882,-24.46731567,15.55557251,8.843994141
15:21.5,11311.93744,-7533.416138,-3336.358368,-24.52713013,15.36315918,9.219360352
15:21.5,11319.59589,-7479.062866,-3405.757233,-24.57138062,15.15762329,9.359130859
15:21.5,11329.0643,-7422.713593,-3474.977814,-24.59243774,14.96643066,9.608764648
15:21.5,11339.06369,-7363.864471,-3544.136383,-24.65927124,14.78744507,9.811553955
15:21.5,11352.7334,-7302.120178,-3615.465363,-24.65759277,14.57809448,10.13092041
15:21.5,11367.82162,-7233.942169,-3690.468536,-24.68002319,14.45297241,10.29144287
15:21.5,11382.27811,-7158.543671,-3769.076141,-24.66629028,14.20623779,10.54580688
15:21.5,11398.04071,-7077.990448,-3848.819336,-24.70443726,13.99780273,10.71517944
15:21.5,11411.3461,-6991.115906,-3928.376495,-24.71130371,13.76083374,10.92941284
15:21.5,11423.2756,-6901.807404,-4005.333038,-24.74121094,13.5647583,11.17324829
15:21.5,11433.86411,-6809.243286,-4080.115295,-24.7795105,13.36608887,11.41860962
15:21.5,11443.05734,-6711.943024,-4154.095276,-24.80484009,13.29147339,11.57791138
15:21.5,11450.58789,-6614.677643,-4224.726624,-24.81552124,13.14819336,11.72073364
15:21.5,11457.63785,-6516.02475,-4293.009277,-24.83306885,12.97668457,11.87286377
15:21.5,11464.23434,-6416.499817,-4359.56723,-24.82254028,12.93151855,11.97891235
15:21.5,11471.40833,-6318.800354,-4424.636902,-24.947052,12.88482666,12.08694458
15:21.5,11478.76447,-6220.635803,-4490.19104,-24.95742798,12.82302856,12.17956543
15:21.5,11487.04691,-6123.509949,-4556.148254,-25.0012207,12.72537231,12.27172852
15:21.5,11495.05804,-6029.724976,-4620.783844,-25.04699707,12.75299072,12.34634399
15:21.5,11503.41025,-5940.470734,-4684.493134,-25.13397217,12.64022827,12.41775513
15:21.5,11513.47165,-5858.727661,-4746.001007,-25.15716553,12.58682251,12.51098633
15:21.5,11522.11841,-5784.394989,-4803.993591,-25.18783569,12.63687134,12.60818481
15:21.5,11530.86981,-5718.131592,-4860.606415,-25.28366089,12.46322632,12.70401001
15:21.5,11538.74918,-5656.061737,-4918.556366,-25.28289795,12.42492676,12.79495239
15:21.5,11545.05887,-5597.406403,-4979.928589,-25.28625488,12.34741211,12.92190552
15:21.5,11549.69812,-5541.781891,-5045.091278,-25.32470703,12.35061646,13.01010132
15:21.5,11551.77551,-5487.211578,-5114.249847,-25.3352356,12.22702026,13.11203003
15:21.5,11551.67087,-5435.524811,-5186.524506,-25.41305542,12.11257935,13.15338135
15:21.5,11547.83002,-5385.097656,-5261.535431,-25.440979,12.1295166,13.24447632
15:21.5,11542.61716,-5336.736267,-5339.577179,-25.39215088,12.08679199,13.25759888
15:21.5,11536.42761,-5290.060822,-5418.944427,-25.39932251,11.99829102,13.32275391
15:21.5,11526.51349,-5245.059692,-5498.749634,-25.39611816,11.96151733,13.35952759
15:21.5,11515.37076,-5200.980988,-5578.008362,-25.34881592,11.8522644,13.4286499
15:21.5,11502.93353,-5160.026123,-5654.468811,-25.27755737,11.83044434,13.4387207
15:21.5,11487.20581,-5119.520844,-5728.134857,-25.33843994,11.65817261,13.5369873
15:21.5,11469.93555,-5079.050446,-5799.510345,-25.29647827,11.47644043,13.68606567
15:21.5,11450.7623,-5038.064575,-5868.052673,-25.23162842,11.33407593,13.80996704
15:21.5,11428.36832,-4993.776581,-5934.668762,-25.15914917,11.14624023,13.89404297
15:21.5,11405.49762,-4948.232849,-6000.250031,-25.10437012,10.95046997,14.01428223
15:21.5,11382.01456,-4899.735809,-6064.118225,-25.05218506,10.83892822,14.21554565
15:21.5,11358.23694,-4848.719543,-6127.924408,-25.04501343,10.52139282,14.31793213
15:21.5,11336.18402,-4795.850677,-6192.060028,-24.88449097,10.33874512,14.58297729
15:21.5,11316.18912,-4739.482025,-6256.970795,-24.87091064,10.03829956,14.70718384
15:21.5,11298.26385,-4681.06311,-6323.141174,-24.89059448,9.779815674,14.91287231
15:21.5,11283.4353,-4619.667633,-6391.028503,-24.76196289,9.524536133,15.12191772
15:21.5,11270.28107,-4553.16394,-6461.748993,-24.73999023,9.26361084,15.34866333
15:21.5,11258.35931,-4482.303925,-6534.066284,-24.72045898,9.046478271,15.62042236
15:21.5,11244.82913,-4406.269806,-6606.875793,-24.68765259,8.771514893,15.76782227
15:21.5,11230.45792,-4325.526672,-6680.634857,-24.67010498,8.589630127,15.99807739
15:21.5,11214.85034,-4239.214111,-6754.618713,-24.56176758,8.348846436,16.12487793
15:21.5,11196.45612,-4145.14621,-6829.904816,-24.54956055,8.098602295,16.29776001
15:21.5,11178.05414,-4047.512634,-6906.803223,-24.48410034,7.904052734,16.51916504
15:21.5,11158.129,-3945.514984,-6983.275299,-24.44839478,7.703094482,16.62322998
15:21.5,11137.02563,-3838.568024,-7060.224091,-24.41848755,7.551879883,16.76864624
15:21.5,11117.17413,-3731.57843,-7135.091614,-24.36935425,7.368927002,16.9392395
15:21.5,11096.64825,-3624.724487,-7207.122101,-24.39956665,7.214202881,16.99356079
15:21.5,11076.50995,-3517.754272,-7276.230286,-24.43054199,7.147064209,17.10998535
15:21.5,11057.85605,-3413.175385,-7342.296021,-24.3637085,7.039794922,17.26272583
15:21.5,11039.47733,-3310.933563,-7405.168152,-24.40444946,6.895141602,17.36740112
15:21.5,11022.34271,-3210.284668,-7467.195374,-24.41986084,6.750640869,17.52731323
15:21.5,11007.39014,-3112.015472,-7528.439697,-24.45907593,6.654052734,17.65716553
15:21.5,10991.74768,-3015.416718,-7589.106537,-24.48165894,6.496276855,17.83721924
15:21.5,10977.64001,-2922.379761,-7649.122253,-24.47875977,6.401824951,18.01635742
15:21.5,10963.18353,-2832.896851,-7708.92868,-24.49264526,6.222076416,18.16772461
15:21.5,10949.83551,-2747.324554,-7769.948212,-24.45846558,6.055145264,18.26385498
15:21.5,10936.78592,-2664.442017,-7832.173096,-24.48684692,5.952758789,18.409729
15:21.5,10921.63956,-2583.784149,-7896.227325,-24.43466187,5.805664063,18.51715088
15:21.5,10905.05917,-2505.052521,-7961.800842,-24.51766968,5.688171387,18.6680603
15:21.5,10884.5798,-2425.673645,-8029.420746,-24.42504883,5.562591553,18.62930298
15:21.5,10860.25571,-2345.632019,-8099.094788,-24.34951782,5.452575684,18.80661011
15:21.5,10834.048,-2266.594208,-8171.322937,-24.27459717,5.328521729,18.87542725
15:21.5,10803.38321,-2185.106934,-8244.698303,-24.30725098,5.204162598,18.89633179
15:21.5,10772.00916,-2103.631287,-8320.077423,-24.24453735,5.079193115,19.02664185
15:21.5,10740.17389,-2023.566406,-8395.220123,-24.10369873,4.911956787,19.12857056
15:21.5,10706.47052,-1944.540222,-8467.041321,-24.08447266,4.747772217,19.21066284
15:21.5,10675.70496,-1869.97113,-8537.292847,-24.0171814,4.541015625,19.27947998
15:21.5,10643.29996,-1796.498871,-8603.071777,-23.93417358,4.351654053,19.34799194
15:21.5,10611.87939,-1725.964417,-8666.176453,-23.78326416,4.232940674,19.43511963
