,"Discharge, cubic feet per second"
2009-08-01,59100
2009-08-02,59700
2009-08-03,56200
2009-08-04,51700
2009-08-05,52100
2009-08-06,54500
2009-08-07,57000
2009-08-08,57300
2009-08-09,54600
2009-08-10,53400
2009-08-11,52800
2009-08-12,49700
2009-08-13,46000
2009-08-14,42600
2009-08-15,41200
2009-08-16,42700
2009-08-17,45400
2009-08-18,48100
2009-08-19,49300
2009-08-20,47400
2009-08-21,45300
2009-08-22,42600
2009-08-23,40300
2009-08-24,38900
2009-08-25,38300
2009-08-26,37300
2009-08-27,35900
2009-08-28,36100
2009-08-29,37400
2009-08-30,39400
2009-08-31,41500
2009-09-01,41800
2009-09-02,42500
2009-09-03,43500
2009-09-04,41400
2009-09-05,38300
2009-09-06,36200
2009-09-07,35200
2009-09-08,34400
2009-09-09,33600
2009-09-10,32400
2009-09-11,31300
2009-09-12,30600
2009-09-13,30000
2009-09-14,29300
2009-09-15,28400
2009-09-16,27200
2009-09-17,25900
2009-09-18,25100
2009-09-19,25000
2009-09-20,25000
2009-09-21,24800
2009-09-22,24600
2009-09-23,24900
2009-09-24,24600
2009-09-25,23800
2009-09-26,23000
2009-09-27,22400
2009-09-28,21800
2009-09-29,21100
2009-09-30,20500
2009-10-01,19900
2009-10-02,19500
2009-10-03,19200
2009-10-04,19000
2009-10-05,18800
2009-10-06,18700
2009-10-07,18500
2009-10-08,18400
2009-10-09,18300
2009-10-10,18200
2009-10-11,18500
2009-10-12,18800
2009-10-13,19000
2009-10-14,19200
2009-10-15,18800
2009-10-16,18200
2009-10-17,17000
2009-10-18,15500
2009-10-19,14800
2009-10-20,14800
2009-10-21,14900
2009-10-22,15500
2009-10-23,15800
2009-10-24,15200
2009-10-25,14500
2009-10-26,12800
2009-10-27,12600
2009-10-28,13000
2009-10-29,12000
2009-10-30,11000
2009-10-31,10100
2009-11-01,9600
2009-11-02,8700
2009-11-03,7900
2009-11-04,8500
2009-11-05,9000
2009-11-06,9100
2009-11-07,9200
2009-11-08,9300
2009-11-09,9400
2009-11-10,9500
2009-11-11,9500
2009-11-12,9600
2009-11-13,9600
2009-11-14,9600
2009-11-15,9600
2009-11-16,9600
2009-11-17,9500
2009-11-18,9300
2009-11-19,9200
2009-11-20,9100
2009-11-21,9000
2009-11-22,8900
2009-11-23,8700
2009-11-24,8500
2009-11-25,8400
2009-11-26,8200
2009-11-27,8000
2009-11-28,7900
2009-11-29,7800
2009-11-30,7600
2009-12-01,7500
2009-12-02,7500
2009-12-03,7400
2009-12-04,7300
2009-12-05,7200
2009-12-06,7200
2009-12-07,7100
2009-12-08,7100
2009-12-09,7100
2009-12-10,7000
2009-12-11,6900
2009-12-12,6900
2009-12-13,6900
2009-12-14,6800
2009-12-15,6800
2009-12-16,6800
2009-12-17,6700
2009-12-18,6700
2009-12-19,6700
2009-12-20,6700
2009-12-21,6700
2009-12-22,6700
2009-12-23,6700
2009-12-24,6700
2009-12-25,6700
2009-12-26,6700
2009-12-27,6700
2009-12-28,6700
2009-12-29,6700
2009-12-30,6700
2009-12-31,6700
2010-01-01,6700
2010-01-02,6700
2010-01-03,6700
2010-01-04,6700
2010-01-05,6700
2010-01-06,6700
2010-01-07,6700
2010-01-08,6700
2010-01-09,6700
2010-01-10,6700
2010-01-11,6700
2010-01-12,6700
2010-01-13,6700
2010-01-14,6700
2010-01-15,6700
2010-01-16,6700
2010-01-17,6700
2010-01-18,6700
2010-01-19,6700
2010-01-20,6700
2010-01-21,6700
2010-01-22,6700
2010-01-23,6700
2010-01-24,6700
2010-01-25,6700
2010-01-26,6700
2010-01-27,6700
2010-01-28,6700
2010-01-29,6700
2010-01-30,6700
2010-01-31,6700
2010-02-01,6700
2010-02-02,6700
2010-02-03,6600
2010-02-04,6600
2010-02-05,6600
2010-02-06,6600
2010-02-07,6600
2010-02-08,6600
2010-02-09,6600
2010-02-10,6600
2010-02-11,6600
2010-02-12,6600
2010-02-13,6600
2010-02-14,6600
2010-02-15,6600
2010-02-16,6600
2010-02-17,6600
2010-02-18,6600
2010-02-19,6600
2010-02-20,6600
2010-02-21,6600
2010-02-22,6600
2010-02-23,6600
2010-02-24,6600
2010-02-25,6600
2010-02-26,6600
2010-02-27,6600
2010-02-28,6600
2010-03-01,6600
2010-03-02,6600
2010-03-03,6600
2010-03-04,6600
2010-03-05,6600
2010-03-06,6600
2010-03-07,6600
2010-03-08,6600
2010-03-09,6600
2010-03-10,6600
2010-03-11,6600
2010-03-12,6600
2010-03-13,6600
2010-03-14,6600
2010-03-15,6600
2010-03-16,6600
2010-03-17,6600
2010-03-18,6600
2010-03-19,6600
2010-03-20,6600
2010-03-21,6600
2010-03-22,6600
2010-03-23,6600
2010-03-24,6600
2010-03-25,6600
2010-03-26,6600
2010-03-27,6600
2010-03-28,6600
2010-03-29,6600
2010-03-30,6700
2010-03-31,6700
2010-04-01,6800
2010-04-02,6800
2010-04-03,6900
2010-04-04,6900
2010-04-05,7000
2010-04-06,7000
2010-04-07,7000
2010-04-08,7100
2010-04-09,7200
2010-04-10,7300
2010-04-11,7400
2010-04-12,7600
2010-04-13,7800
2010-04-14,8000
2010-04-15,8200
2010-04-16,8400
2010-04-17,8700
2010-04-18,9000
2010-04-19,9300
2010-04-20,9600
2010-04-21,10000
2010-04-22,10700
2010-04-23,11000
2010-04-24,11600
2010-04-25,12400
2010-04-26,13000
2010-04-27,14000
2010-04-28,15500
2010-04-29,17000
2010-04-30,19000
2010-05-01,21000
2010-05-02,23000
2010-05-03,24200
2010-05-04,24600
2010-05-05,25000
2010-05-06,24800
2010-05-07,23600
2010-05-08,22900
2010-05-09,22600
2010-05-10,21900
2010-05-11,21400
2010-05-12,20800
2010-05-13,20600
2010-05-14,20500
2010-05-15,19400
2010-05-16,18700
2010-05-17,18200
2010-05-18,17900
2010-05-19,18200
2010-05-20,19200
2010-05-21,20900
2010-05-22,23200
2010-05-23,24200
2010-05-24,24500
2010-05-25,24700
2010-05-26,26800
2010-05-27,30200
2010-05-28,31000
2010-05-29,31600
2010-05-30,31800
2010-05-31,32100
2010-06-01,34200
2010-06-02,35700
2010-06-03,35300
2010-06-04,36600
2010-06-05,39700
2010-06-06,42300
2010-06-07,43500
2010-06-08,42100
2010-06-09,43500
2010-06-10,47600
2010-06-11,46800
2010-06-12,43700
2010-06-13,44000
2010-06-14,51000
2010-06-15,54800
2010-06-16,52300
2010-06-17,47000
