,"Gage height, feet"
2010-08-10 08:00:00+00:00,8.96
2010-08-10 08:15:00+00:00,8.99
2010-08-10 08:30:00+00:00,8.94
2010-08-10 08:45:00+00:00,8.96
2010-08-10 09:00:00+00:00,9.0
2010-08-10 09:15:00+00:00,8.93
2010-08-10 09:30:00+00:00,8.92
2010-08-10 09:45:00+00:00,8.96
2010-08-10 10:00:00+00:00,8.95
2010-08-10 10:15:00+00:00,8.96
2010-08-10 10:30:00+00:00,8.94
2010-08-10 10:45:00+00:00,8.93
2010-08-10 11:00:00+00:00,8.95
2010-08-10 11:15:00+00:00,8.92
2010-08-10 11:30:00+00:00,8.92
2010-08-10 11:45:00+00:00,8.9
2010-08-10 12:00:00+00:00,8.92
2010-08-10 12:15:00+00:00,8.91
2010-08-10 12:30:00+00:00,8.92
2010-08-10 12:45:00+00:00,8.9
2010-08-10 13:00:00+00:00,8.91
2010-08-10 13:15:00+00:00,8.91
2010-08-10 13:30:00+00:00,8.93
2010-08-10 13:45:00+00:00,8.9
2010-08-10 14:00:00+00:00,8.89
2010-08-10 14:15:00+00:00,8.91
2010-08-10 14:30:00+00:00,8.89
2010-08-10 14:45:00+00:00,8.91
2010-08-10 15:00:00+00:00,8.88
2010-08-10 15:15:00+00:00,8.87
2010-08-10 15:30:00+00:00,8.89
2010-08-10 15:45:00+00:00,8.88
2010-08-10 16:00:00+00:00,8.88
2010-08-10 16:15:00+00:00,8.89
2010-08-10 16:30:00+00:00,8.85
2010-08-10 16:45:00+00:00,8.86
2010-08-10 17:00:00+00:00,8.89
2010-08-10 17:15:00+00:00,8.84
2010-08-10 17:30:00+00:00,8.87
2010-08-10 17:45:00+00:00,8.89
2010-08-10 18:00:00+00:00,8.83
2010-08-10 18:15:00+00:00,8.86
2010-08-10 18:30:00+00:00,8.87
2010-08-10 18:45:00+00:00,8.86
2010-08-10 19:00:00+00:00,8.84
2010-08-10 19:15:00+00:00,8.88
2010-08-10 19:30:00+00:00,8.86
2010-08-10 19:45:00+00:00,8.87
2010-08-10 20:00:00+00:00,8.85
2010-08-10 20:15:00+00:00,8.88
2010-08-10 20:30:00+00:00,8.83
2010-08-10 20:45:00+00:00,8.81
2010-08-10 21:00:00+00:00,8.84
2010-08-10 21:15:00+00:00,8.87
2010-08-10 21:30:00+00:00,8.86
2010-08-10 21:45:00+00:00,8.86
2010-08-10 22:00:00+00:00,8.82
2010-08-10 22:15:00+00:00,8.87
2010-08-10 22:30:00+00:00,8.89
2010-08-10 22:45:00+00:00,8.84
2010-08-10 23:00:00+00:00,8.88
2010-08-10 23:15:00+00:00,8.86
2010-08-10 23:30:00+00:00,8.86
2010-08-10 23:45:00+00:00,8.85
2010-08-11 00:00:00+00:00,8.88
2010-08-11 00:15:00+00:00,8.86
2010-08-11 00:30:00+00:00,8.88
2010-08-11 00:45:00+00:00,8.86
2010-08-11 01:00:00+00:00,8.89
2010-08-11 01:15:00+00:00,8.86
2010-08-11 01:30:00+00:00,8.89
2010-08-11 01:45:00+00:00,8.88
2010-08-11 02:00:00+00:00,8.88
2010-08-11 02:15:00+00:00,8.89
2010-08-11 02:30:00+00:00,8.9
2010-08-11 02:45:00+00:00,8.89
2010-08-11 03:00:00+00:00,8.91
2010-08-11 03:15:00+00:00,8.9
2010-08-11 03:30:00+00:00,8.9
2010-08-11 03:45:00+00:00,8.89
2010-08-11 04:00:00+00:00,8.88
2010-08-11 04:15:00+00:00,8.87
2010-08-11 04:30:00+00:00,8.89
2010-08-11 04:45:00+00:00,8.89
2010-08-11 05:00:00+00:00,8.88
2010-08-11 05:15:00+00:00,8.89
2010-08-11 05:30:00+00:00,8.91
2010-08-11 05:45:00+00:00,8.88
2010-08-11 06:00:00+00:00,8.92
2010-08-11 06:15:00+00:00,8.93
2010-08-11 06:30:00+00:00,8.88
2010-08-11 06:45:00+00:00,8.89
2010-08-11 07:00:00+00:00,8.89
2010-08-11 07:15:00+00:00,8.89
2010-08-11 07:30:00+00:00,8.91
2010-08-11 07:45:00+00:00,8.91
