#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2015 12 31 23 00 132  7.9 999 99.0 9999
2015 12 31 23 10 135  7.8 999 99.0 9999
2015 12 31 23 20 137  7.6 999 99.0 9999
2015 12 31 23 30 142  7.6 999 99.0 9999
2015 12 31 23 40 138  7.7 999 99.0 9999
2015 12 31 23 50 140  7.3 115 10.2 2315
2016 01 01 00 00 136  7.3 999 99.0 9999
2016 01 01 00 10 137  7.3 999 99.0 9999
2016 01 01 00 20 131  7.7 999 99.0 9999
2016 01 01 00 30 129  7.8 999 99.0 9999
2016 01 01 00 40 131  8.0 999 99.0 9999
2016 01 01 00 50 130  7.9 127 10.3 0045
2016 01 01 01 00 129  7.9 999 99.0 9999
2016 01 01 01 10 133  8.1 999 99.0 9999
2016 01 01 01 20 136  8.1 999 99.0 9999
2016 01 01 01 30 136  7.7 999 99.0 9999
2016 01 01 01 40 132  7.7 999 99.0 9999
2016 01 01 01 50 133  7.8 135 10.8 0126
2016 01 01 02 00 139  7.7 999 99.0 9999
2016 01 01 02 10 139  7.4 999 99.0 9999
2016 01 01 02 20 133  7.8 999 99.0 9999
2016 01 01 02 30 135  8.2 999 99.0 9999
2016 01 01 02 40 139  7.7 999 99.0 9999
2016 01 01 02 50 130  7.8 133 10.4 0249
2016 01 01 03 00 127  8.0 999 99.0 9999
2016 01 01 03 10 131  8.3 999 99.0 9999
2016 01 01 03 20 130  8.1 999 99.0 9999
2016 01 01 03 30 127  8.2 999 99.0 9999
2016 01 01 03 40 130  8.1 999 99.0 9999
2016 01 01 03 50 124  8.5 121 10.7 0301
2016 01 01 04 00 121  8.8 999 99.0 9999
2016 01 01 04 10 119  8.5 999 99.0 9999
2016 01 01 04 20 118  8.5 999 99.0 9999
2016 01 01 04 30 118  8.7 999 99.0 9999
2016 01 01 04 40 120  8.7 999 99.0 9999
2016 01 01 04 50 116  8.6 120 11.6 0446
2016 01 01 05 00 118  8.4 999 99.0 9999
2016 01 01 05 10 127  8.9 999 99.0 9999
2016 01 01 05 20 124  8.5 999 99.0 9999
2016 01 01 05 30 118  8.4 999 99.0 9999
2016 01 01 05 40 126  8.3 999 99.0 9999
2016 01 01 05 50 125  8.6 131 11.2 0507
2016 01 01 06 00 121  8.8 999 99.0 9999
2016 01 01 06 10 123  8.6 999 99.0 9999
2016 01 01 06 20 127  8.7 999 99.0 9999
2016 01 01 06 30 130  8.0 999 99.0 9999
2016 01 01 06 40 128  8.1 999 99.0 9999
2016 01 01 06 50 125  8.6 129 11.0 0647
2016 01 01 07 00 121  8.8 999 99.0 9999
2016 01 01 07 10 128  8.3 999 99.0 9999
2016 01 01 07 20 126  8.3 999 99.0 9999
2016 01 01 07 30 124  8.3 999 99.0 9999
2016 01 01 07 40 131  7.7 999 99.0 9999
2016 01 01 07 50 128  7.5 111 11.3 0656
2016 01 01 08 00 131  7.5 999 99.0 9999
2016 01 01 08 10 133  7.8 999 99.0 9999
2016 01 01 08 20 134  7.3 999 99.0 9999
2016 01 01 08 30 142  6.7 999 99.0 9999
2016 01 01 08 40 137  6.8 999 99.0 9999
2016 01 01 08 50 143  7.1 130 10.2 0802
2016 01 01 09 00 141  6.3 999 99.0 9999
2016 01 01 09 10 138  6.3 999 99.0 9999
2016 01 01 09 20 137  6.5 999 99.0 9999
2016 01 01 09 30 139  6.9 999 99.0 9999
2016 01 01 09 40 131  6.6 999 99.0 9999
2016 01 01 09 50 144  5.9 126  9.9 0924
2016 01 01 10 00 142  6.8 999 99.0 9999
2016 01 01 10 10 134  6.1 999 99.0 9999
2016 01 01 10 20 143  6.2 999 99.0 9999
2016 01 01 10 30 134  6.6 999 99.0 9999
2016 01 01 10 40 146  6.5 999 99.0 9999
2016 01 01 10 50 128  7.1 130  9.3 1045
2016 01 01 11 00 130  7.3 999 99.0 9999
2016 01 01 11 10 135  7.2 999 99.0 9999
2016 01 01 11 20 130  7.0 999 99.0 9999
2016 01 01 11 30 133  6.8 999 99.0 9999
2016 01 01 11 40 119  6.8 999 99.0 9999
2016 01 01 11 50 121  7.2 132  9.8 1116
2016 01 01 12 00 123  7.4 999 99.0 9999
2016 01 01 12 10 117  7.7 999 99.0 9999
2016 01 01 12 20 119  7.6 999 99.0 9999
2016 01 01 12 30 119  7.1 999 99.0 9999
2016 01 01 12 40 129  7.3 999 99.0 9999
2016 01 01 12 50 132  6.9 120  9.9 1224
2016 01 01 13 00 136  6.9 999 99.0 9999
2016 01 01 13 10 143  6.5 999 99.0 9999
2016 01 01 13 20 141  6.5 999 99.0 9999
2016 01 01 13 30 143  6.6 999 99.0 9999
2016 01 01 13 40 150  6.7 999 99.0 9999
2016 01 01 13 50 149  6.4 141  8.7 1317
2016 01 01 14 00 146  6.7 999 99.0 9999
2016 01 01 14 10 150  6.4 999 99.0 9999
2016 01 01 14 20 155  6.5 999 99.0 9999
2016 01 01 14 30 152  6.7 999 99.0 9999
2016 01 01 14 40 142  7.0 999 99.0 9999
2016 01 01 14 50 142  7.4 145  9.9 1446
2016 01 01 15 00 132  7.3 999 99.0 9999
2016 01 01 15 10 135  7.2 999 99.0 9999
2016 01 01 15 20 130  7.3 999 99.0 9999
2016 01 01 15 30 129  7.3 999 99.0 9999
2016 01 01 15 40 118  7.5 999 99.0 9999
2016 01 01 15 50 126  7.7 118 10.2 1540
2016 01 01 16 00 128  7.3 999 99.0 9999
2016 01 01 16 10 130  7.2 999 99.0 9999
2016 01 01 16 20 131  7.6 999 99.0 9999
2016 01 01 16 30 125  7.8 999 99.0 9999
2016 01 01 16 40 124  7.7 999 99.0 9999
2016 01 01 16 50 127  8.0 128 10.2 1627
