#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2019 04 02 13 50 120  2.0   MM    MM    MM    MM  MM 1007.7  10.7  11.1    MM   MM   MM    MM
2019 04 02 13 40 130  2.0   MM    MM    MM    MM  MM 1007.8  10.7  11.1    MM   MM   MM    MM
2019 04 02 13 30 130  2.0   MM    MM    MM    MM  MM 1007.8  10.8  11.1    MM   MM   MM    MM
2019 04 02 13 20 120  1.0   MM   1.5    MM    MM 261 1007.8  10.7  11.1    MM   MM   MM    MM
2019 04 02 13 10 120  1.0   MM   1.5    15    MM  MM 1007.9  10.6  11.1    MM   MM   MM    MM
2019 04 02 13 00  MM  0.0   MM    MM    MM    MM  MM 1007.9  10.5  11.1    MM   MM -0.8    MM
2019 04 02 12 50 180  1.0   MM    MM    MM    MM  MM 1007.9  10.6  11.1    MM   MM   MM    MM
2019 04 02 12 40 220  1.0   MM    MM    MM    MM  MM 1008.0  10.7  11.1    MM   MM   MM    MM
2019 04 02 12 30 230  1.0   MM    MM    MM    MM  MM 1007.9  10.7  11.1    MM   MM   MM    MM
2019 04 02 12 20 240  1.0   MM   1.7    MM    MM 274 1008.0  10.7  11.1    MM   MM   MM    MM
2019 04 02 12 10 220  1.0   MM   1.7    15    MM  MM 1008.1  10.8  11.1    MM   MM   MM    MM
2019 04 02 12 00 210  1.0   MM    MM    MM    MM  MM 1008.1  10.9  11.1    MM   MM   MM    MM
2019 04 02 11 50 210  1.0   MM    MM    MM    MM  MM 1008.1  10.9  11.1    MM   MM   MM    MM
2019 04 02 11 40 220  1.0   MM    MM    MM    MM  MM 1008.1  10.9  11.1    MM   MM   MM    MM
2019 04 02 11 30 200  1.0   MM    MM    MM    MM  MM 1008.1  10.9  11.1    MM   MM   MM    MM
2019 04 02 11 20 210  1.0   MM   1.8    MM    MM 271 1008.3  10.9  11.1    MM   MM   MM    MM
2019 04 02 11 10 210  1.0   MM   1.8    17    MM  MM 1008.3  10.9  11.1    MM   MM   MM    MM
2019 04 02 11 00 220  1.0   MM    MM    MM    MM  MM 1008.3  10.9  11.1    MM   MM -1.0    MM
2019 04 02 10 50 220  1.0   MM    MM    MM    MM  MM 1008.3  10.9  11.1    MM   MM   MM    MM
2019 04 02 10 40 210  2.0   MM    MM    MM    MM  MM 1008.4  11.0  11.1    MM   MM   MM    MM
2019 04 02 10 30 210  2.0   MM    MM    MM    MM  MM 1008.4  11.0  11.1    MM   MM   MM    MM
2019 04 02 10 20 210  2.0   MM   1.5    MM    MM 262 1008.5  11.0  11.1    MM   MM   MM    MM
2019 04 02 10 10 210  2.0   MM   1.5    17    MM  MM 1008.6  11.0  11.1    MM   MM   MM    MM
2019 04 02 10 00 210  2.0   MM    MM    MM    MM  MM 1008.7  11.0  11.1    MM   MM   MM    MM
2019 04 02 09 50 220  3.0   MM    MM    MM    MM  MM 1008.8  11.0  11.1    MM   MM   MM    MM
2019 04 02 09 40 220  3.0   MM    MM    MM    MM  MM 1008.9  11.0  11.1    MM   MM   MM    MM
2019 04 02 09 30 220  4.0   MM    MM    MM    MM  MM 1008.9  11.1  11.1    MM   MM   MM    MM
