#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 08 01 00 00 231  1.6 99.0 99.00 99.00 99.00 999 1017.3  15.7  13.5 999.0 99.0 99.00
2019 08 01 00 10 222  1.7 99.0  1.07  8.30 99.00 295 1017.2  15.8  13.4 999.0 99.0 99.00
2019 08 01 00 20 227  1.6 99.0 99.00 99.00 99.00 999 1017.2  15.9  13.6 999.0 99.0 99.00
2019 08 01 00 30 222  1.4 99.0 99.00 99.00 99.00 999 1017.1  15.9  13.9 999.0 99.0 99.00
2019 08 01 00 40 226  1.3 99.0 99.00 99.00 99.00 999 1017.1  16.2  13.7 999.0 99.0 99.00
2019 08 01 00 50 222  1.1 99.0 99.00 99.00 99.00 999 1017.1  16.3  13.7 999.0 99.0 99.00
2019 08 01 01 00 225  1.2 99.0 99.00 99.00 99.00 999 1017.0  16.4  13.4 999.0 99.0 99.00
2019 08 01 01 10 183  1.2 99.0  0.95  7.70 99.00 291 1017.0  16.2  13.4 999.0 99.0 99.00
2019 08 01 01 20 153  0.9 99.0 99.00 99.00 99.00 999 1016.9  16.1  13.6 999.0 99.0 99.00
2019 08 01 01 30 171  1.1 99.0 99.00 99.00 99.00 999 1016.9  16.1  13.9 999.0 99.0 99.00
2019 08 01 01 40 177  1.3 99.0 99.00 99.00 99.00 999 1016.8  16.2  14.4 999.0 99.0 99.00
2019 08 01 01 50 187  1.4 99.0 99.00 99.00 99.00 999 1016.9  16.1  13.9 999.0 99.0 99.00
2019 08 01 02 00 198  1.5 99.0 99.00 99.00 99.00 999 1016.9  15.9  14.0 999.0 99.0 99.00
2019 08 01 02 10 184  1.4 99.0  1.01  8.30 99.00 292 1016.8  15.7  14.0 999.0 99.0 99.00
2019 08 01 02 20 149  1.0 99.0 99.00 99.00 99.00 999 1016.8  15.6  14.4 999.0 99.0 99.00
2019 08 01 02 30 177  1.3 99.0 99.00 99.00 99.00 999 1016.8  15.5  14.3 999.0 99.0 99.00
2019 08 01 02 40 180  1.6 99.0 99.00 99.00 99.00 999 1016.8  15.4  14.7 999.0 99.0 99.00
2019 08 01 02 50 184  1.5 99.0 99.00 99.00 99.00 999 1016.7  15.3  14.3 999.0 99.0 99.00
2019 08 01 03 00 189  1.6 99.0 99.00 99.00 99.00 999 1016.7  15.1  14.0 999.0 99.0 99.00
2019 08 01 03 10 196  1.8 99.0  1.05  8.00 99.00 290 1016.7  15.1  14.2 999.0 99.0 99.00
2019 08 01 03 20 196  1.6 99.0 99.00 99.00 99.00 999 1016.6  15.0  14.2 999.0 99.0 99.00
2019 08 01 03 30 178  1.4 99.0 99.00 99.00 99.00 999 1016.6  14.7  14.2 999.0 99.0 99.00
2019 08 01 03 40 186  1.6 99.0 99.00 99.00 99.00 999 1016.5  14.7  14.3 999.0 99.0 99.00
2019 08 01 03 50 178  1.7 99.0 99.00 99.00 99.00 999 1016.5  14.6  14.3 999.0 99.0 99.00
2019 08 01 04 00 191  2.0 99.0 99.00 99.00 99.00 999 1016.6  14.6  14.5 999.0 99.0 99.00
