time_index,energy_period_0,mean_zero-crossing_period_0
1996-01-01 00:00:00+00:00,13.0372,11.7614
1996-01-01 01:00:00+00:00,13.0351,11.7557
1996-01-01 02:00:00+00:00,13.0333,11.7503
1996-01-01 03:00:00+00:00,13.0332,11.7487
1996-01-01 04:00:00+00:00,13.0325,11.747
1996-01-01 05:00:00+00:00,13.0312,11.7442
1996-01-01 06:00:00+00:00,13.0298,11.7406
1996-01-01 07:00:00+00:00,13.026,11.7351
1996-01-01 08:00:00+00:00,13.01,11.7204
1996-01-01 09:00:00+00:00,12.9679,11.6831
1996-01-01 10:00:00+00:00,12.8947,11.6155
1996-01-01 11:00:00+00:00,12.7986,11.5224
1996-01-01 12:00:00+00:00,12.691,11.4133
1996-01-01 13:00:00+00:00,12.5797,11.2964
1996-01-01 14:00:00+00:00,12.469,11.1759
1996-01-01 15:00:00+00:00,12.3614,11.0537
1996-01-01 16:00:00+00:00,12.2594,10.931
1996-01-01 17:00:00+00:00,12.1677,10.8083
1996-01-01 18:00:00+00:00,12.0862,10.6797
1996-01-01 19:00:00+00:00,12.0096,10.572
1996-01-01 20:00:00+00:00,11.9342,10.495
1996-01-01 21:00:00+00:00,11.8597,10.4164
1996-01-01 22:00:00+00:00,11.7895,10.3386
1996-01-01 23:00:00+00:00,11.7311,10.2711
1996-01-02 00:00:00+00:00,11.69,10.2203
1996-01-02 01:00:00+00:00,11.6576,10.1819
1996-01-02 02:00:00+00:00,11.6341,10.1548
1996-01-02 03:00:00+00:00,11.6167,10.1353
1996-01-02 04:00:00+00:00,11.6024,10.1197
1996-01-02 05:00:00+00:00,11.5891,10.1054
1996-01-02 06:00:00+00:00,11.5758,10.0912
1996-01-02 07:00:00+00:00,11.5639,10.0781
1996-01-02 08:00:00+00:00,11.5559,10.0655
1996-01-02 09:00:00+00:00,11.5549,10.0544
1996-01-02 10:00:00+00:00,11.5637,10.0471
1996-01-02 11:00:00+00:00,11.5847,10.0457
1996-01-02 12:00:00+00:00,11.6205,10.053
1996-01-02 13:00:00+00:00,11.6741,10.0729
1996-01-02 14:00:00+00:00,11.7474,10.1081
1996-01-02 15:00:00+00:00,11.8396,10.1576
1996-01-02 16:00:00+00:00,11.947,10.2174
1996-01-02 17:00:00+00:00,12.0642,10.2778
1996-01-02 18:00:00+00:00,12.1848,10.3361
1996-01-02 19:00:00+00:00,12.3001,10.3796
1996-01-02 20:00:00+00:00,12.3967,10.3571
1996-01-02 21:00:00+00:00,12.4381,9.8507
1996-01-02 22:00:00+00:00,12.3145,8.7567
1996-01-02 23:00:00+00:00,12.0253,7.7912
1996-01-03 00:00:00+00:00,11.4664,6.9001
1996-01-03 01:00:00+00:00,10.4624,6.1134
1996-01-03 02:00:00+00:00,9.6672,5.9272
1996-01-03 03:00:00+00:00,9.3213,6.1254
1996-01-03 04:00:00+00:00,9.2478,6.4104
1996-01-03 05:00:00+00:00,9.3506,6.6049
1996-01-03 06:00:00+00:00,9.3924,6.6979
1996-01-03 07:00:00+00:00,9.4916,6.8273
1996-01-03 08:00:00+00:00,9.5216,6.8705
1996-01-03 09:00:00+00:00,9.6035,6.9935
1996-01-03 10:00:00+00:00,9.8856,7.322
1996-01-03 11:00:00+00:00,10.2275,7.5933
1996-01-03 12:00:00+00:00,10.6982,8.2167
1996-01-03 13:00:00+00:00,11.1809,8.9045
1996-01-03 14:00:00+00:00,11.5531,9.4245
1996-01-03 15:00:00+00:00,11.7847,9.714
1996-01-03 16:00:00+00:00,11.8919,9.8237
1996-01-03 17:00:00+00:00,11.8908,9.749
1996-01-03 18:00:00+00:00,11.8169,9.6134
1996-01-03 19:00:00+00:00,11.7367,9.6429
1996-01-03 20:00:00+00:00,11.6488,9.7145
1996-01-03 21:00:00+00:00,11.5283,9.6336
1996-01-03 22:00:00+00:00,11.3911,9.4765
1996-01-03 23:00:00+00:00,11.2595,9.366
1996-01-04 00:00:00+00:00,11.139,9.3296
1996-01-04 01:00:00+00:00,11.0114,9.2399
1996-01-04 02:00:00+00:00,10.8635,9.0182
1996-01-04 03:00:00+00:00,10.6791,8.619
1996-01-04 04:00:00+00:00,10.4564,8.1407
1996-01-04 05:00:00+00:00,10.2295,7.7964
1996-01-04 06:00:00+00:00,10.025,7.5553
1996-01-04 07:00:00+00:00,9.8688,7.4746
1996-01-04 08:00:00+00:00,9.7546,7.45
1996-01-04 09:00:00+00:00,9.6473,7.3281
1996-01-04 10:00:00+00:00,9.5684,7.2326
1996-01-04 11:00:00+00:00,9.5354,7.2014
1996-01-04 12:00:00+00:00,9.5402,7.2106
1996-01-04 13:00:00+00:00,9.5998,7.324
1996-01-04 14:00:00+00:00,9.6887,7.4649
1996-01-04 15:00:00+00:00,9.7868,7.5776
1996-01-04 16:00:00+00:00,9.8974,7.6521
1996-01-04 17:00:00+00:00,10.0278,7.7084
1996-01-04 18:00:00+00:00,10.1829,7.7685
1996-01-04 19:00:00+00:00,10.3619,7.8416
1996-01-04 20:00:00+00:00,10.5425,7.8491
1996-01-04 21:00:00+00:00,10.7162,7.8271
1996-01-04 22:00:00+00:00,10.8936,7.8563
1996-01-04 23:00:00+00:00,11.0709,7.9116
1996-01-05 00:00:00+00:00,11.2481,7.9939
1996-01-05 01:00:00+00:00,11.4236,8.0921
1996-01-05 02:00:00+00:00,11.5986,8.2233
1996-01-05 03:00:00+00:00,11.7792,8.4252
1996-01-05 04:00:00+00:00,11.9592,8.69
1996-01-05 05:00:00+00:00,12.1281,8.9928
1996-01-05 06:00:00+00:00,12.2702,9.2719
1996-01-05 07:00:00+00:00,12.379,9.4728
1996-01-05 08:00:00+00:00,12.4577,9.6243
1996-01-05 09:00:00+00:00,12.5132,9.747
1996-01-05 10:00:00+00:00,12.5493,9.845
1996-01-05 11:00:00+00:00,12.5681,9.9199
1996-01-05 12:00:00+00:00,12.572,9.97
1996-01-05 13:00:00+00:00,12.5598,9.958
1996-01-05 14:00:00+00:00,12.5052,9.456
1996-01-05 15:00:00+00:00,12.2202,8.1022
1996-01-05 16:00:00+00:00,11.8948,7.3887
1996-01-05 17:00:00+00:00,11.4083,6.6416
1996-01-05 18:00:00+00:00,10.7382,6.1069
1996-01-05 19:00:00+00:00,9.8128,5.5586
1996-01-05 20:00:00+00:00,9.195,5.4437
1996-01-05 21:00:00+00:00,8.7893,5.4405
1996-01-05 22:00:00+00:00,8.4394,5.5224
1996-01-05 23:00:00+00:00,8.231,5.6631
1996-01-06 00:00:00+00:00,8.2274,5.8992
1996-01-06 01:00:00+00:00,8.3341,6.0713
1996-01-06 02:00:00+00:00,8.4567,6.3178
1996-01-06 03:00:00+00:00,8.4852,6.3654
1996-01-06 04:00:00+00:00,8.3847,6.2665
1996-01-06 05:00:00+00:00,8.246,6.1703
1996-01-06 06:00:00+00:00,8.1092,6.1056
1996-01-06 07:00:00+00:00,8.058,6.085
1996-01-06 08:00:00+00:00,8.0368,6.0688
1996-01-06 09:00:00+00:00,8.0204,6.1006
1996-01-06 10:00:00+00:00,7.9912,6.1032
1996-01-06 11:00:00+00:00,7.9547,6.108
1996-01-06 12:00:00+00:00,7.9541,6.1609
1996-01-06 13:00:00+00:00,7.99,6.2106
1996-01-06 14:00:00+00:00,8.0021,6.2184
1996-01-06 15:00:00+00:00,8.0093,6.2424
1996-01-06 16:00:00+00:00,8.0263,6.2789
1996-01-06 17:00:00+00:00,8.1222,6.4217
1996-01-06 18:00:00+00:00,8.2732,6.5774
1996-01-06 19:00:00+00:00,8.4753,6.7334
1996-01-06 20:00:00+00:00,8.634,6.8674
1996-01-06 21:00:00+00:00,8.7374,6.9617
1996-01-06 22:00:00+00:00,8.9922,7.2681
1996-01-06 23:00:00+00:00,9.1451,7.4045
1996-01-07 00:00:00+00:00,9.2274,7.416
1996-01-07 01:00:00+00:00,9.4052,7.6871
1996-01-07 02:00:00+00:00,9.472,7.7019
1996-01-07 03:00:00+00:00,9.4624,7.6454
1996-01-07 04:00:00+00:00,9.4169,7.5718
1996-01-07 05:00:00+00:00,9.3134,7.3411
1996-01-07 06:00:00+00:00,9.1135,7.0584
1996-01-07 07:00:00+00:00,9.2003,7.1914
1996-01-07 08:00:00+00:00,9.2434,7.2229
1996-01-07 09:00:00+00:00,9.1831,7.0675
1996-01-07 10:00:00+00:00,9.1081,7.0012
1996-01-07 11:00:00+00:00,9.1326,7.0318
1996-01-07 12:00:00+00:00,9.1306,6.985
1996-01-07 13:00:00+00:00,9.0472,6.8142
1996-01-07 14:00:00+00:00,8.9645,6.7076
1996-01-07 15:00:00+00:00,8.9387,6.6455
1996-01-07 16:00:00+00:00,8.9279,6.5945
1996-01-07 17:00:00+00:00,8.9333,6.5491
1996-01-07 18:00:00+00:00,8.9284,6.4763
1996-01-07 19:00:00+00:00,8.9488,6.4343
1996-01-07 20:00:00+00:00,8.9527,6.4004
1996-01-07 21:00:00+00:00,8.9542,6.3917
1996-01-07 22:00:00+00:00,8.9784,6.3711
1996-01-07 23:00:00+00:00,9.0442,6.3654
1996-01-08 00:00:00+00:00,9.1428,6.3868
1996-01-08 01:00:00+00:00,9.3922,6.6715
1996-01-08 02:00:00+00:00,9.6861,7.0941
1996-01-08 03:00:00+00:00,9.8905,7.3428
1996-01-08 04:00:00+00:00,10.0249,7.4494
1996-01-08 05:00:00+00:00,10.1188,7.5091
1996-01-08 06:00:00+00:00,10.1918,7.5628
1996-01-08 07:00:00+00:00,10.2804,7.7368
1996-01-08 08:00:00+00:00,10.3637,7.89
1996-01-08 09:00:00+00:00,10.4368,8.0068
1996-01-08 10:00:00+00:00,10.5105,8.1209
1996-01-08 11:00:00+00:00,10.5799,8.1934
1996-01-08 12:00:00+00:00,10.6411,8.2124
1996-01-08 13:00:00+00:00,10.7201,8.3251
1996-01-08 14:00:00+00:00,10.7934,8.3783
1996-01-08 15:00:00+00:00,10.8497,8.3334
1996-01-08 16:00:00+00:00,10.8997,8.2749
1996-01-08 17:00:00+00:00,10.94,8.1947
1996-01-08 18:00:00+00:00,10.9723,8.0969
1996-01-08 19:00:00+00:00,11.0802,8.3527
1996-01-08 20:00:00+00:00,11.2019,8.6652
1996-01-08 21:00:00+00:00,11.2969,8.8825
1996-01-08 22:00:00+00:00,11.3752,9.0737
1996-01-08 23:00:00+00:00,11.4339,9.2276
1996-01-09 00:00:00+00:00,11.471,9.3284
1996-01-09 01:00:00+00:00,11.5052,9.5933
1996-01-09 02:00:00+00:00,11.5167,9.7653
1996-01-09 03:00:00+00:00,11.5078,9.8296
1996-01-09 04:00:00+00:00,11.4865,9.8613
1996-01-09 05:00:00+00:00,11.4561,9.873
1996-01-09 06:00:00+00:00,11.4199,9.8702
1996-01-09 07:00:00+00:00,11.3808,9.8614
1996-01-09 08:00:00+00:00,11.3409,9.8478
1996-01-09 09:00:00+00:00,11.3016,9.8328
1996-01-09 10:00:00+00:00,11.2633,9.8168
1996-01-09 11:00:00+00:00,11.225,9.7985
1996-01-09 12:00:00+00:00,11.1856,9.7765
1996-01-09 13:00:00+00:00,11.1438,9.7535
1996-01-09 14:00:00+00:00,11.0981,9.7246
1996-01-09 15:00:00+00:00,11.0473,9.6886
1996-01-09 16:00:00+00:00,10.9911,9.6453
1996-01-09 17:00:00+00:00,10.9291,9.5946
1996-01-09 18:00:00+00:00,10.8611,9.5356
1996-01-09 19:00:00+00:00,10.7867,9.4585
1996-01-09 20:00:00+00:00,10.6946,9.2656
1996-01-09 21:00:00+00:00,10.4949,8.1056
1996-01-09 22:00:00+00:00,10.1435,7.1997
1996-01-09 23:00:00+00:00,9.7126,6.462
1996-01-10 00:00:00+00:00,9.3696,6.1702
1996-01-10 01:00:00+00:00,9.1827,6.0964
1996-01-10 02:00:00+00:00,9.1366,6.2325
1996-01-10 03:00:00+00:00,9.1676,6.4699
1996-01-10 04:00:00+00:00,9.2186,6.7818
1996-01-10 05:00:00+00:00,9.2363,7.0502
1996-01-10 06:00:00+00:00,9.2269,7.2297
1996-01-10 07:00:00+00:00,9.2066,7.3443
1996-01-10 08:00:00+00:00,9.1848,7.4134
1996-01-10 09:00:00+00:00,9.1692,7.4547
1996-01-10 10:00:00+00:00,9.1682,7.4935
1996-01-10 11:00:00+00:00,9.1894,7.5384
1996-01-10 12:00:00+00:00,9.2393,7.5936
1996-01-10 13:00:00+00:00,9.3222,7.6694
1996-01-10 14:00:00+00:00,9.438,7.7719
1996-01-10 15:00:00+00:00,9.5793,7.902
1996-01-10 16:00:00+00:00,9.7335,8.0544
1996-01-10 17:00:00+00:00,9.8868,8.2196
1996-01-10 18:00:00+00:00,10.0278,8.3848
1996-01-10 19:00:00+00:00,10.1505,8.5331
1996-01-10 20:00:00+00:00,10.2558,8.6535
1996-01-10 21:00:00+00:00,10.3487,8.7488
1996-01-10 22:00:00+00:00,10.4325,8.8014
1996-01-10 23:00:00+00:00,10.5066,8.7566
1996-01-11 00:00:00+00:00,10.5602,8.4566
1996-01-11 01:00:00+00:00,10.5142,7.6209
1996-01-11 02:00:00+00:00,10.6713,8.4826
1996-01-11 03:00:00+00:00,10.7816,9.0856
1996-01-11 04:00:00+00:00,10.8304,9.2817
1996-01-11 05:00:00+00:00,10.8568,9.3524
1996-01-11 06:00:00+00:00,10.8705,9.3813
1996-01-11 07:00:00+00:00,10.8792,9.4245
