time_index,significant_wave_height_0,energy_period_0
1996-01-01 00:00:00+00:00,3.57489,13.0372
1996-01-01 01:00:00+00:00,3.57667,13.0351
1996-01-01 02:00:00+00:00,3.57797,13.0333
1996-01-01 03:00:00+00:00,3.57929,13.0332
1996-01-01 04:00:00+00:00,3.58065,13.0325
1996-01-01 05:00:00+00:00,3.58202,13.0312
1996-01-01 06:00:00+00:00,3.58351,13.0298
1996-01-01 07:00:00+00:00,3.584,13.026
1996-01-01 08:00:00+00:00,3.57863,13.01
1996-01-01 09:00:00+00:00,3.55815,12.9679
1996-01-01 10:00:00+00:00,3.51616,12.8947
1996-01-01 11:00:00+00:00,3.45528,12.7986
1996-01-01 12:00:00+00:00,3.38284,12.691
1996-01-01 13:00:00+00:00,3.30507,12.5797
1996-01-01 14:00:00+00:00,3.22544,12.469
1996-01-01 15:00:00+00:00,3.14554,12.3614
1996-01-01 16:00:00+00:00,3.06646,12.2594
1996-01-01 17:00:00+00:00,2.98973,12.1677
1996-01-01 18:00:00+00:00,2.91588,12.0862
1996-01-01 19:00:00+00:00,2.84391,12.0096
1996-01-01 20:00:00+00:00,2.77412,11.9342
1996-01-01 21:00:00+00:00,2.70839,11.8597
1996-01-01 22:00:00+00:00,2.64883,11.7895
1996-01-01 23:00:00+00:00,2.59794,11.7311
1996-01-02 00:00:00+00:00,2.55729,11.69
1996-01-02 01:00:00+00:00,2.52462,11.6576
1996-01-02 02:00:00+00:00,2.49893,11.6341
1996-01-02 03:00:00+00:00,2.47834,11.6167
1996-01-02 04:00:00+00:00,2.46067,11.6024
1996-01-02 05:00:00+00:00,2.44422,11.5891
1996-01-02 06:00:00+00:00,2.42775,11.5758
1996-01-02 07:00:00+00:00,2.41089,11.5639
1996-01-02 08:00:00+00:00,2.39395,11.5559
1996-01-02 09:00:00+00:00,2.3776,11.5549
1996-01-02 10:00:00+00:00,2.36276,11.5637
1996-01-02 11:00:00+00:00,2.35054,11.5847
1996-01-02 12:00:00+00:00,2.34243,11.6205
1996-01-02 13:00:00+00:00,2.3402,11.6741
1996-01-02 14:00:00+00:00,2.34553,11.7474
1996-01-02 15:00:00+00:00,2.35938,11.8396
1996-01-02 16:00:00+00:00,2.3819,11.947
1996-01-02 17:00:00+00:00,2.41268,12.0642
1996-01-02 18:00:00+00:00,2.45103,12.1848
1996-01-02 19:00:00+00:00,2.49581,12.3001
1996-01-02 20:00:00+00:00,2.54547,12.3967
1996-01-02 21:00:00+00:00,2.60104,12.4381
1996-01-02 22:00:00+00:00,2.67417,12.3145
1996-01-02 23:00:00+00:00,2.76722,12.0253
1996-01-03 00:00:00+00:00,2.90854,11.4664
1996-01-03 01:00:00+00:00,3.17983,10.4624
1996-01-03 02:00:00+00:00,3.50345,9.6672
1996-01-03 03:00:00+00:00,3.78231,9.3213
1996-01-03 04:00:00+00:00,3.98437,9.2478
1996-01-03 05:00:00+00:00,4.04114,9.3506
1996-01-03 06:00:00+00:00,4.08148,9.3924
1996-01-03 07:00:00+00:00,4.07361,9.4916
1996-01-03 08:00:00+00:00,4.10554,9.5216
1996-01-03 09:00:00+00:00,4.17467,9.6035
1996-01-03 10:00:00+00:00,4.21003,9.8856
1996-01-03 11:00:00+00:00,4.25815,10.2275
1996-01-03 12:00:00+00:00,4.30323,10.6982
1996-01-03 13:00:00+00:00,4.34258,11.1809
1996-01-03 14:00:00+00:00,4.3863,11.5531
1996-01-03 15:00:00+00:00,4.40939,11.7847
1996-01-03 16:00:00+00:00,4.39174,11.8919
1996-01-03 17:00:00+00:00,4.33247,11.8908
1996-01-03 18:00:00+00:00,4.23703,11.8169
1996-01-03 19:00:00+00:00,4.10646,11.7367
1996-01-03 20:00:00+00:00,3.95844,11.6488
1996-01-03 21:00:00+00:00,3.81182,11.5283
1996-01-03 22:00:00+00:00,3.67069,11.3911
1996-01-03 23:00:00+00:00,3.53479,11.2595
1996-01-04 00:00:00+00:00,3.40663,11.139
1996-01-04 01:00:00+00:00,3.29209,11.0114
1996-01-04 02:00:00+00:00,3.19434,10.8635
1996-01-04 03:00:00+00:00,3.11618,10.6791
1996-01-04 04:00:00+00:00,3.0572,10.4564
1996-01-04 05:00:00+00:00,3.01001,10.2295
1996-01-04 06:00:00+00:00,2.96687,10.025
1996-01-04 07:00:00+00:00,2.92185,9.8688
1996-01-04 08:00:00+00:00,2.87568,9.7546
1996-01-04 09:00:00+00:00,2.83561,9.6473
1996-01-04 10:00:00+00:00,2.79787,9.5684
1996-01-04 11:00:00+00:00,2.75773,9.5354
1996-01-04 12:00:00+00:00,2.71688,9.5402
