time_index,mean_absolute_period_0,mean_absolute_period_1
1995-01-01 00:00:00+00:00,8.2068,8.3237
1995-01-01 03:00:00+00:00,8.1362,8.5722
1995-01-01 06:00:00+00:00,7.8549,8.5342
1995-01-01 09:00:00+00:00,7.6666,8.3892
1995-01-01 12:00:00+00:00,7.9961,8.292
1995-01-01 15:00:00+00:00,8.5821,8.2865
1995-01-01 18:00:00+00:00,9.9872,9.2146
1995-01-01 21:00:00+00:00,10.8137,10.2233
1995-01-02 00:00:00+00:00,11.6307,11.1202
1995-01-02 03:00:00+00:00,11.6333,11.6516
1995-01-02 06:00:00+00:00,11.7072,11.3333
1995-01-02 09:00:00+00:00,11.3359,10.5894
1995-01-02 12:00:00+00:00,10.5571,9.7038
1995-01-02 15:00:00+00:00,9.7199,9.0002
1995-01-02 18:00:00+00:00,9.1975,8.7963
1995-01-02 21:00:00+00:00,8.9533,8.8121
1995-01-03 00:00:00+00:00,8.5648,8.9594
1995-01-03 03:00:00+00:00,8.4531,8.8274
1995-01-03 06:00:00+00:00,8.0699,8.9391
1995-01-03 09:00:00+00:00,8.5317,9.8647
1995-01-03 12:00:00+00:00,9.0729,10.7055
1995-01-03 15:00:00+00:00,9.5535,10.866
1995-01-03 18:00:00+00:00,9.9154,10.8417
1995-01-03 21:00:00+00:00,10.4276,10.6121
1995-01-04 00:00:00+00:00,10.9805,10.1032
1995-01-04 03:00:00+00:00,11.4069,10.0488
1995-01-04 06:00:00+00:00,10.88,10.1674
1995-01-04 09:00:00+00:00,9.8663,9.9718
1995-01-04 12:00:00+00:00,9.407,9.2014
1995-01-04 15:00:00+00:00,8.5862,7.7737
1995-01-04 18:00:00+00:00,8.0553,7.6123
1995-01-04 21:00:00+00:00,8.538,8.5111
1995-01-05 00:00:00+00:00,10.3477,10.1057
1995-01-05 03:00:00+00:00,11.3062,11.0726
1995-01-05 06:00:00+00:00,12.0322,11.8882
1995-01-05 09:00:00+00:00,12.5501,12.6015
1995-01-05 12:00:00+00:00,13.1917,12.7761
1995-01-05 15:00:00+00:00,13.6757,13.0984
1995-01-05 18:00:00+00:00,13.9533,13.5891
1995-01-05 21:00:00+00:00,14.1423,13.6805
1995-01-06 00:00:00+00:00,14.0583,13.011
1995-01-06 03:00:00+00:00,13.8903,11.7691
1995-01-06 06:00:00+00:00,13.7982,12.0204
1995-01-06 09:00:00+00:00,13.4947,12.4211
1995-01-06 12:00:00+00:00,13.051,12.9073
1995-01-06 15:00:00+00:00,12.8758,13.1833
1995-01-06 18:00:00+00:00,12.8596,13.2976
1995-01-06 21:00:00+00:00,12.8421,12.7926
1995-01-07 00:00:00+00:00,12.7853,11.7334
1995-01-07 03:00:00+00:00,11.2904,8.3651
1995-01-07 06:00:00+00:00,10.1388,8.3258
1995-01-07 09:00:00+00:00,8.9709,9.8775
1995-01-07 12:00:00+00:00,10.148,9.7179
1995-01-07 15:00:00+00:00,11.1387,9.5346
1995-01-07 18:00:00+00:00,9.4175,9.5888
1995-01-07 21:00:00+00:00,8.7814,9.8239
1995-01-08 00:00:00+00:00,8.9672,9.566
1995-01-08 03:00:00+00:00,8.4803,9.1751
1995-01-08 06:00:00+00:00,9.3041,9.7243
1995-01-08 09:00:00+00:00,10.8997,10.0531
1995-01-08 12:00:00+00:00,9.99,10.8181
1995-01-08 15:00:00+00:00,9.8691,10.2809
1995-01-08 18:00:00+00:00,9.2802,9.9051
1995-01-08 21:00:00+00:00,8.858,9.5727
1995-01-09 00:00:00+00:00,9.3061,9.1996
1995-01-09 03:00:00+00:00,9.7304,9.366
1995-01-09 06:00:00+00:00,10.566,8.8609
1995-01-09 09:00:00+00:00,9.7578,9.7389
1995-01-09 12:00:00+00:00,10.0505,10.6619
