time_index,mean_absolute_period_44.624076_-124.280097
1995-01-01 00:00:00+00:00,8.2068
1995-01-01 03:00:00+00:00,8.1362
1995-01-01 06:00:00+00:00,7.8549
1995-01-01 09:00:00+00:00,7.6666
1995-01-01 12:00:00+00:00,7.9961
1995-01-01 15:00:00+00:00,8.5821
1995-01-01 18:00:00+00:00,9.9872
1995-01-01 21:00:00+00:00,10.8137
1995-01-02 00:00:00+00:00,11.6307
1995-01-02 03:00:00+00:00,11.6333
1995-01-02 06:00:00+00:00,11.7072
1995-01-02 09:00:00+00:00,11.3359
1995-01-02 12:00:00+00:00,10.5571
1995-01-02 15:00:00+00:00,9.7199
1995-01-02 18:00:00+00:00,9.1975
1995-01-02 21:00:00+00:00,8.9533
1995-01-03 00:00:00+00:00,8.5648
1995-01-03 03:00:00+00:00,8.4531
1995-01-03 06:00:00+00:00,8.0699
1995-01-03 09:00:00+00:00,8.5317
1995-01-03 12:00:00+00:00,9.0729
1995-01-03 15:00:00+00:00,9.5535
1995-01-03 18:00:00+00:00,9.9154
1995-01-03 21:00:00+00:00,10.4276
1995-01-04 00:00:00+00:00,10.9805
1995-01-04 03:00:00+00:00,11.4069
1995-01-04 06:00:00+00:00,10.88
1995-01-04 09:00:00+00:00,9.8663
1995-01-04 12:00:00+00:00,9.407
1995-01-04 15:00:00+00:00,8.5862
1995-01-04 18:00:00+00:00,8.0553
1995-01-04 21:00:00+00:00,8.538
1995-01-05 00:00:00+00:00,10.3477
1995-01-05 03:00:00+00:00,11.3062
1995-01-05 06:00:00+00:00,12.0322
1995-01-05 09:00:00+00:00,12.5501
1995-01-05 12:00:00+00:00,13.1917
1995-01-05 15:00:00+00:00,13.6757
1995-01-05 18:00:00+00:00,13.9533
1995-01-05 21:00:00+00:00,14.1423
1995-01-06 00:00:00+00:00,14.0583
1995-01-06 03:00:00+00:00,13.8903
1995-01-06 06:00:00+00:00,13.7982
1995-01-06 09:00:00+00:00,13.4947
1995-01-06 12:00:00+00:00,13.051
1995-01-06 15:00:00+00:00,12.8758
1995-01-06 18:00:00+00:00,12.8596
1995-01-06 21:00:00+00:00,12.8421
1995-01-07 00:00:00+00:00,12.7853
1995-01-07 03:00:00+00:00,11.2904
1995-01-07 06:00:00+00:00,10.1388
1995-01-07 09:00:00+00:00,8.9709
1995-01-07 12:00:00+00:00,10.148
1995-01-07 15:00:00+00:00,11.1387
1995-01-07 18:00:00+00:00,9.4175
1995-01-07 21:00:00+00:00,8.7814
1995-01-08 00:00:00+00:00,8.9672
1995-01-08 03:00:00+00:00,8.4803
1995-01-08 06:00:00+00:00,9.3041
1995-01-08 09:00:00+00:00,10.8997
1995-01-08 12:00:00+00:00,9.99
1995-01-08 15:00:00+00:00,9.8691
1995-01-08 18:00:00+00:00,9.2802
1995-01-08 21:00:00+00:00,8.858
1995-01-09 00:00:00+00:00,9.3061
1995-01-09 03:00:00+00:00,9.7304
1995-01-09 06:00:00+00:00,10.566
1995-01-09 09:00:00+00:00,9.7578
1995-01-09 12:00:00+00:00,10.0505
1995-01-09 15:00:00+00:00,10.7524
1995-01-09 18:00:00+00:00,11.2461
1995-01-09 21:00:00+00:00,10.2049
1995-01-10 00:00:00+00:00,9.7858
1995-01-10 03:00:00+00:00,9.354
1995-01-10 06:00:00+00:00,9.4171
1995-01-10 09:00:00+00:00,9.1632
1995-01-10 12:00:00+00:00,9.2627
1995-01-10 15:00:00+00:00,9.508
1995-01-10 18:00:00+00:00,9.6423
1995-01-10 21:00:00+00:00,10.757
1995-01-11 00:00:00+00:00,11.9041
1995-01-11 03:00:00+00:00,12.6848
1995-01-11 06:00:00+00:00,11.8427
1995-01-11 09:00:00+00:00,10.4602
1995-01-11 12:00:00+00:00,9.9395
1995-01-11 15:00:00+00:00,10.1176
1995-01-11 18:00:00+00:00,10.4868
1995-01-11 21:00:00+00:00,9.6806
1995-01-12 00:00:00+00:00,9.7879
1995-01-12 03:00:00+00:00,10.2212
1995-01-12 06:00:00+00:00,10.6528
1995-01-12 09:00:00+00:00,10.7796
1995-01-12 12:00:00+00:00,9.2602
1995-01-12 15:00:00+00:00,9.3075
1995-01-12 18:00:00+00:00,8.2518
1995-01-12 21:00:00+00:00,8.2878
1995-01-13 00:00:00+00:00,8.6949
1995-01-13 03:00:00+00:00,7.919
1995-01-13 06:00:00+00:00,7.6459
1995-01-13 09:00:00+00:00,7.9412
1995-01-13 12:00:00+00:00,9.0057
1995-01-13 15:00:00+00:00,9.0747
1995-01-13 18:00:00+00:00,9.2368
1995-01-13 21:00:00+00:00,8.8475
1995-01-14 00:00:00+00:00,9.3451
1995-01-14 03:00:00+00:00,9.995
1995-01-14 06:00:00+00:00,9.5466
1995-01-14 09:00:00+00:00,7.4726
1995-01-14 12:00:00+00:00,7.8932
1995-01-14 15:00:00+00:00,8.7186
1995-01-14 18:00:00+00:00,9.0686
1995-01-14 21:00:00+00:00,8.7607
1995-01-15 00:00:00+00:00,8.3078
1995-01-15 03:00:00+00:00,7.8378
1995-01-15 06:00:00+00:00,7.9751
1995-01-15 09:00:00+00:00,8.2846
1995-01-15 12:00:00+00:00,9.05
1995-01-15 15:00:00+00:00,9.9283
1995-01-15 18:00:00+00:00,10.3188
1995-01-15 21:00:00+00:00,9.9463
1995-01-16 00:00:00+00:00,9.607
1995-01-16 03:00:00+00:00,9.4978
1995-01-16 06:00:00+00:00,9.3139
1995-01-16 09:00:00+00:00,9.3939
1995-01-16 12:00:00+00:00,9.527
1995-01-16 15:00:00+00:00,9.5118
1995-01-16 18:00:00+00:00,9.3958
1995-01-16 21:00:00+00:00,9.258
1995-01-17 00:00:00+00:00,9.1353
1995-01-17 03:00:00+00:00,9.0544
1995-01-17 06:00:00+00:00,9.0064
1995-01-17 09:00:00+00:00,8.6713
1995-01-17 12:00:00+00:00,7.8238
1995-01-17 15:00:00+00:00,6.7324
1995-01-17 18:00:00+00:00,6.5232
1995-01-17 21:00:00+00:00,6.4483
1995-01-18 00:00:00+00:00,6.8605
1995-01-18 03:00:00+00:00,7.2512
1995-01-18 06:00:00+00:00,7.6893
1995-01-18 09:00:00+00:00,7.7312
1995-01-18 12:00:00+00:00,8.2392
1995-01-18 15:00:00+00:00,8.4071
1995-01-18 18:00:00+00:00,8.6676
1995-01-18 21:00:00+00:00,9.5408
1995-01-19 00:00:00+00:00,10.1565
1995-01-19 03:00:00+00:00,10.9293
1995-01-19 06:00:00+00:00,11.3862
1995-01-19 09:00:00+00:00,11.841
1995-01-19 12:00:00+00:00,12.1605
1995-01-19 15:00:00+00:00,12.6481
1995-01-19 18:00:00+00:00,12.9855
1995-01-19 21:00:00+00:00,13.2281
1995-01-20 00:00:00+00:00,13.216
1995-01-20 03:00:00+00:00,13.0166
1995-01-20 06:00:00+00:00,12.4463
1995-01-20 09:00:00+00:00,11.5199
1995-01-20 12:00:00+00:00,11.4197
1995-01-20 15:00:00+00:00,11.235
1995-01-20 18:00:00+00:00,11.0961
1995-01-20 21:00:00+00:00,11.0505
1995-01-21 00:00:00+00:00,11.5224
1995-01-21 03:00:00+00:00,12.2481
1995-01-21 06:00:00+00:00,12.3144
1995-01-21 09:00:00+00:00,12.1612
1995-01-21 12:00:00+00:00,12.0015
1995-01-21 15:00:00+00:00,11.8749
1995-01-21 18:00:00+00:00,11.7202
1995-01-21 21:00:00+00:00,11.5248
1995-01-22 00:00:00+00:00,11.2566
1995-01-22 03:00:00+00:00,10.9181
1995-01-22 06:00:00+00:00,9.3583
