%
%
% Run:TEST  Table:COMPGRID          SWAN version:41.20
%
%       Xp            Yp            Hsig          Dir           RTpeak        TDir     
%       [m]           [m]           [m]           [degr]        [sec]         [degr]   
%
           0.            0.       1.00106         0.000        9.5726         0.000 
          10.            0.       1.00106         0.000        9.5726         0.000 
          20.            0.       1.00106         0.000        9.5726         0.000 
          30.            0.       1.00106         0.000        9.5726         0.000 
          40.            0.       1.00106         0.000        9.5726         0.000 
          50.            0.       1.00105         0.000        9.5726         0.000 
          60.            0.       1.00105         0.000        9.5726         0.000 
          70.            0.       1.00105         0.000        9.5726         0.000 
          80.            0.       1.00105         0.000        9.5726         0.000 
          90.            0.       1.00105         0.000        9.5726         0.000 
         100.            0.       1.00105         0.000        9.5726         0.000 
         110.            0.       1.00105         0.000        9.5726         0.000 
         120.            0.       1.00105         0.000        9.5726         0.000 
         130.            0.       1.00105         0.000        9.5726         0.000 
         140.            0.       1.00105         0.000        9.5726         0.000 
         150.            0.       1.00105         0.000        9.5726         0.000 
         160.            0.       1.00105         0.000        9.5726         0.000 
         170.            0.       1.00105         0.000        9.5726         0.000 
         180.            0.       1.00105         0.000        9.5726         0.000 
         190.            0.       1.00105         0.000        9.5726         0.000 
         200.            0.       1.00105         0.000        9.5726         0.000 
         210.            0.       1.00105         0.000        9.5726         0.000 
         220.            0.       1.00105         0.000        9.5726         0.000 
         230.            0.       1.00105         0.000        9.5726         0.000 
         240.            0.       1.00105         0.000        9.5726         0.000 
         250.            0.       1.00105         0.000        9.5726         0.000 
         260.            0.       1.00105         0.000        9.5726         0.000 
         270.            0.       1.00105         0.000        9.5726         0.000 
         280.            0.       1.00105         0.000        9.5726         0.000 
         290.            0.       1.00105         0.000        9.5726         0.000 
         300.            0.       1.00105         0.000        9.5726         0.000 
         310.            0.       1.00105         0.000        9.5726         0.000 
         320.            0.       1.00105         0.000        9.5726         0.000 
         330.            0.       1.00105         0.000        9.5726         0.000 
         340.            0.       1.00105         0.000        9.5726         0.000 
         350.            0.       1.00105         0.000        9.5726         0.000 
         360.            0.       1.00104         0.000        9.5726         0.000 
         370.            0.       1.00104         0.000        9.5726         0.000 
         380.            0.       1.00104         0.000        9.5726         0.000 
         390.            0.       1.00104         0.000        9.5726         0.000 
         400.            0.       1.00104         0.000        9.5726         0.000 
         410.            0.       1.00104         0.000        9.5726         0.000 
         420.            0.       1.00104         0.000        9.5726         0.000 
         430.            0.       1.00104         0.000        9.5726         0.000 
         440.            0.       1.00104         0.000        9.5726         0.000 
         450.            0.       1.00104         0.000        9.5726         0.000 
         460.            0.       1.00104         0.000        9.5726         0.000 
         470.            0.       1.00104         0.000        9.5726         0.000 
         480.            0.       1.00104         0.000        9.5726         0.000 
         490.            0.       1.00104         0.000        9.5726         0.000 
         500.            0.       1.00104         0.000        9.5726         0.000 
         510.            0.       1.00104         0.000        9.5726         0.000 
         520.            0.       1.00104         0.000        9.5726         0.000 
         530.            0.       1.00104         0.000        9.5726         0.000 
         540.            0.       1.00104         0.000        9.5726         0.000 
         550.            0.       1.00104         0.000        9.5726         0.000 
         560.            0.       1.00104         0.000        9.5726         0.000 
