time_index,windspeed_10m_0,windspeed_10m_1
2019-01-01 00:00:00+00:00,3.06,14.37
2019-01-01 01:00:00+00:00,2.28,14.22
2019-01-01 02:00:00+00:00,0.8,14.92
2019-01-01 03:00:00+00:00,0.4,14.4
2019-01-01 04:00:00+00:00,0.34,12.36
2019-01-01 05:00:00+00:00,0.11,10.64
2019-01-01 06:00:00+00:00,0.04,10.49
2019-01-01 07:00:00+00:00,0.23,9.7
2019-01-01 08:00:00+00:00,0.13,9.0
2019-01-01 09:00:00+00:00,0.32,9.01
2019-01-01 10:00:00+00:00,0.14,9.18
2019-01-01 11:00:00+00:00,0.55,7.7
2019-01-01 12:00:00+00:00,0.44,8.69
2019-01-01 13:00:00+00:00,0.22,8.76
2019-01-01 14:00:00+00:00,0.83,9.36
2019-01-01 15:00:00+00:00,1.38,8.29
2019-01-01 16:00:00+00:00,0.9,8.51
2019-01-01 17:00:00+00:00,1.17,8.13
2019-01-01 18:00:00+00:00,1.05,7.01
2019-01-01 19:00:00+00:00,2.01,6.48
2019-01-01 20:00:00+00:00,1.62,5.0
2019-01-01 21:00:00+00:00,1.97,2.4
2019-01-01 22:00:00+00:00,1.91,1.59
2019-01-01 23:00:00+00:00,1.2,2.59
2019-01-02 00:00:00+00:00,1.88,5.55
2019-01-02 01:00:00+00:00,1.63,6.46
2019-01-02 02:00:00+00:00,0.69,6.92
2019-01-02 03:00:00+00:00,0.77,6.1
2019-01-02 04:00:00+00:00,0.56,5.34
2019-01-02 05:00:00+00:00,0.46,4.14
2019-01-02 06:00:00+00:00,0.2,3.5
2019-01-02 07:00:00+00:00,0.32,2.4
2019-01-02 08:00:00+00:00,0.51,1.07
2019-01-02 09:00:00+00:00,0.41,0.52
2019-01-02 10:00:00+00:00,0.46,1.29
2019-01-02 11:00:00+00:00,0.4,2.37
2019-01-02 12:00:00+00:00,0.51,2.69
2019-01-02 13:00:00+00:00,0.46,2.02
2019-01-02 14:00:00+00:00,0.4,1.47
2019-01-02 15:00:00+00:00,0.52,0.81
2019-01-02 16:00:00+00:00,0.47,2.83
2019-01-02 17:00:00+00:00,0.89,3.65
2019-01-02 18:00:00+00:00,0.79,3.24
2019-01-02 19:00:00+00:00,2.19,3.9
2019-01-02 20:00:00+00:00,2.35,3.85
2019-01-02 21:00:00+00:00,2.71,3.71
2019-01-02 22:00:00+00:00,2.2,3.67
2019-01-02 23:00:00+00:00,1.09,3.72
2019-01-03 00:00:00+00:00,1.59,3.06
2019-01-03 01:00:00+00:00,0.65,3.32
2019-01-03 02:00:00+00:00,0.79,3.99
2019-01-03 03:00:00+00:00,0.95,4.32
2019-01-03 04:00:00+00:00,0.81,4.8
