time_index,temperature_20m_0,temperature_40m_0
2018-01-01 00:00:00+00:00,12.76,12.69
2018-01-01 01:00:00+00:00,12.87,12.82
2018-01-01 02:00:00+00:00,12.69,12.61
2018-01-01 03:00:00+00:00,12.42,12.31
2018-01-01 04:00:00+00:00,12.35,12.21
2018-01-01 05:00:00+00:00,12.27,12.12
2018-01-01 06:00:00+00:00,12.27,12.12
2018-01-01 07:00:00+00:00,12.11,11.95
2018-01-01 08:00:00+00:00,12.06,11.9
2018-01-01 09:00:00+00:00,12.12,11.98
2018-01-01 10:00:00+00:00,12.16,12.05
2018-01-01 11:00:00+00:00,11.75,11.67
2018-01-01 12:00:00+00:00,10.93,10.88
2018-01-01 13:00:00+00:00,10.84,10.63
2018-01-01 14:00:00+00:00,10.89,10.69
2018-01-01 15:00:00+00:00,11.05,10.84
2018-01-01 16:00:00+00:00,11.01,10.82
2018-01-01 17:00:00+00:00,10.62,10.58
2018-01-01 18:00:00+00:00,10.65,10.44
2018-01-01 19:00:00+00:00,11.06,10.87
2018-01-01 20:00:00+00:00,11.29,11.09
2018-01-01 21:00:00+00:00,11.45,11.25
2018-01-01 22:00:00+00:00,11.6,11.41
2018-01-01 23:00:00+00:00,11.63,11.46
2018-01-02 00:00:00+00:00,11.61,11.43
2018-01-02 01:00:00+00:00,11.63,11.45
2018-01-02 02:00:00+00:00,11.63,11.45
2018-01-02 03:00:00+00:00,11.62,11.44
2018-01-02 04:00:00+00:00,11.6,11.43
2018-01-02 05:00:00+00:00,11.67,11.49
2018-01-02 06:00:00+00:00,11.67,11.49
2018-01-02 07:00:00+00:00,11.69,11.52
2018-01-02 08:00:00+00:00,11.66,11.48
2018-01-02 09:00:00+00:00,11.63,11.45
2018-01-02 10:00:00+00:00,11.59,11.42
2018-01-02 11:00:00+00:00,11.52,11.36
2018-01-02 12:00:00+00:00,11.56,11.4
2018-01-02 13:00:00+00:00,11.64,11.48
2018-01-02 14:00:00+00:00,11.63,11.49
2018-01-02 15:00:00+00:00,11.68,11.54
2018-01-02 16:00:00+00:00,11.61,11.45
2018-01-02 17:00:00+00:00,10.55,10.45
2018-01-02 18:00:00+00:00,10.16,10.04
2018-01-02 19:00:00+00:00,10.08,9.97
2018-01-02 20:00:00+00:00,10.31,11.31
2018-01-02 21:00:00+00:00,10.0,11.45
2018-01-02 22:00:00+00:00,10.05,11.13
2018-01-02 23:00:00+00:00,9.87,10.27
2018-01-03 00:00:00+00:00,10.24,11.49
2018-01-03 01:00:00+00:00,10.17,11.3
2018-01-03 02:00:00+00:00,9.97,10.25
2018-01-03 03:00:00+00:00,9.96,11.03
2018-01-03 04:00:00+00:00,10.05,9.96
2018-01-03 05:00:00+00:00,10.17,10.06
2018-01-03 06:00:00+00:00,10.09,9.95
2018-01-03 07:00:00+00:00,10.44,10.34
2018-01-03 08:00:00+00:00,10.28,10.15
2018-01-03 09:00:00+00:00,10.15,10.08
