time_index,winddirection_10m_0
2018-01-01 00:00:00+00:00,179.2
2018-01-01 01:00:00+00:00,190.65
2018-01-01 02:00:00+00:00,191.69
2018-01-01 03:00:00+00:00,190.72
2018-01-01 04:00:00+00:00,183.2
2018-01-01 05:00:00+00:00,185.76
2018-01-01 06:00:00+00:00,185.74
2018-01-01 07:00:00+00:00,182.8
2018-01-01 08:00:00+00:00,184.44
2018-01-01 09:00:00+00:00,178.84
2018-01-01 10:00:00+00:00,167.78
2018-01-01 11:00:00+00:00,126.21
2018-01-01 12:00:00+00:00,106.09
2018-01-01 13:00:00+00:00,109.89
2018-01-01 14:00:00+00:00,142.91
2018-01-01 15:00:00+00:00,139.3
2018-01-01 16:00:00+00:00,113.09
2018-01-01 17:00:00+00:00,102.94
2018-01-01 18:00:00+00:00,84.49
2018-01-01 19:00:00+00:00,66.94
2018-01-01 20:00:00+00:00,44.48
2018-01-01 21:00:00+00:00,20.68
2018-01-01 22:00:00+00:00,357.68
2018-01-01 23:00:00+00:00,355.34
2018-01-02 00:00:00+00:00,2.29
2018-01-02 01:00:00+00:00,6.02
2018-01-02 02:00:00+00:00,14.73
2018-01-02 03:00:00+00:00,17.63
2018-01-02 04:00:00+00:00,11.43
2018-01-02 05:00:00+00:00,357.63
2018-01-02 06:00:00+00:00,0.61
2018-01-02 07:00:00+00:00,6.17
2018-01-02 08:00:00+00:00,14.04
2018-01-02 09:00:00+00:00,22.58
2018-01-02 10:00:00+00:00,28.63
2018-01-02 11:00:00+00:00,26.71
2018-01-02 12:00:00+00:00,359.56
2018-01-02 13:00:00+00:00,352.33
2018-01-02 14:00:00+00:00,2.8
2018-01-02 15:00:00+00:00,21.95
2018-01-02 16:00:00+00:00,50.76
2018-01-02 17:00:00+00:00,72.48
2018-01-02 18:00:00+00:00,56.98
2018-01-02 19:00:00+00:00,302.56
2018-01-02 20:00:00+00:00,345.28
2018-01-02 21:00:00+00:00,47.46
2018-01-02 22:00:00+00:00,24.56
2018-01-02 23:00:00+00:00,94.43
2018-01-03 00:00:00+00:00,355.11
2018-01-03 01:00:00+00:00,320.85
2018-01-03 02:00:00+00:00,275.86
2018-01-03 03:00:00+00:00,304.78
2018-01-03 04:00:00+00:00,31.34
2018-01-03 05:00:00+00:00,35.65
2018-01-03 06:00:00+00:00,26.31
2018-01-03 07:00:00+00:00,25.93
2018-01-03 08:00:00+00:00,81.54
2018-01-03 09:00:00+00:00,58.93
2018-01-03 10:00:00+00:00,44.23
2018-01-03 11:00:00+00:00,6.59
2018-01-03 12:00:00+00:00,357.44
2018-01-03 13:00:00+00:00,19.05
2018-01-03 14:00:00+00:00,23.06
2018-01-03 15:00:00+00:00,140.11
2018-01-03 16:00:00+00:00,189.51
2018-01-03 17:00:00+00:00,173.1
2018-01-03 18:00:00+00:00,189.26
2018-01-03 19:00:00+00:00,191.9
2018-01-03 20:00:00+00:00,189.96
2018-01-03 21:00:00+00:00,190.68
2018-01-03 22:00:00+00:00,188.98
2018-01-03 23:00:00+00:00,179.04
2018-01-04 00:00:00+00:00,182.35
2018-01-04 01:00:00+00:00,184.19
2018-01-04 02:00:00+00:00,178.44
2018-01-04 03:00:00+00:00,134.48
2018-01-04 04:00:00+00:00,39.1
2018-01-04 05:00:00+00:00,187.69
2018-01-04 06:00:00+00:00,165.79
2018-01-04 07:00:00+00:00,128.49
2018-01-04 08:00:00+00:00,127.58
2018-01-04 09:00:00+00:00,155.95
2018-01-04 10:00:00+00:00,151.56
2018-01-04 11:00:00+00:00,168.28
2018-01-04 12:00:00+00:00,156.29
2018-01-04 13:00:00+00:00,163.91
2018-01-04 14:00:00+00:00,152.13
2018-01-04 15:00:00+00:00,169.3
2018-01-04 16:00:00+00:00,163.47
2018-01-04 17:00:00+00:00,183.38
2018-01-04 18:00:00+00:00,186.32
2018-01-04 19:00:00+00:00,185.7
2018-01-04 20:00:00+00:00,174.55
2018-01-04 21:00:00+00:00,182.7
2018-01-04 22:00:00+00:00,180.55
2018-01-04 23:00:00+00:00,178.02
2018-01-05 00:00:00+00:00,177.55
2018-01-05 01:00:00+00:00,176.56
2018-01-05 02:00:00+00:00,175.51
2018-01-05 03:00:00+00:00,173.29
2018-01-05 04:00:00+00:00,184.99
2018-01-05 05:00:00+00:00,178.45
2018-01-05 06:00:00+00:00,163.98
2018-01-05 07:00:00+00:00,159.14
2018-01-05 08:00:00+00:00,157.37
2018-01-05 09:00:00+00:00,157.42
2018-01-05 10:00:00+00:00,186.01
2018-01-05 11:00:00+00:00,167.05
2018-01-05 12:00:00+00:00,178.27
2018-01-05 13:00:00+00:00,182.11
2018-01-05 14:00:00+00:00,190.13
2018-01-05 15:00:00+00:00,185.47
2018-01-05 16:00:00+00:00,188.21
2018-01-05 17:00:00+00:00,170.91
2018-01-05 18:00:00+00:00,166.35
2018-01-05 19:00:00+00:00,166.94
2018-01-05 20:00:00+00:00,168.91
2018-01-05 21:00:00+00:00,171.95
